,elevation_above_mudline,total_viv_fatigue_damage,total_wave_fatigue_damage,total_combined_fatigue_damage
0,1553.8703999999993,0.0,3.96817432461622e-13,3.96817432461622e-13
1,1553.5453003199993,1.0421407314999998e-09,4.655172732168845e-09,5.697313463668845e-09
2,1553.3827504799995,8.239055128e-09,1.3955687102433716e-08,2.2194742230433717e-08
3,1553.0576507999995,2.7532473829000003e-08,5.4058985247112154e-08,8.159145907611216e-08
4,1552.8951009599994,6.460873793999999e-08,9.070088760038487e-08,1.5530962554038486e-07
5,1552.5700012799994,1.2472486692e-07,2.0539830872502222e-07,3.3012317564502223e-07
6,1552.4074514399995,2.1337911284999998e-07,2.870889698232491e-07,5.004680826732491e-07
7,1552.0823517599995,3.351293865e-07,5.145604526922174e-07,8.496898391922174e-07
8,1551.7572520799995,4.951469538999999e-07,8.33624086662697e-07,1.328771040562697e-06
9,1551.5947022399994,6.963479077999999e-07,1.0412158469784147e-06,1.7375637547784145e-06
10,1551.2696025599994,9.464993282e-07,1.5441413090938864e-06,2.4906406372938864e-06
11,1551.1070527199995,1.2461301382e-06,1.8539804875916934e-06,3.1001106257916934e-06
12,1550.7819530399995,1.5996508240000002e-06,2.5939746758252644e-06,4.1936254998252644e-06
13,1550.6194031999994,2.0137654787000003e-06,3.033933397930596e-06,5.047698876630596e-06
14,1550.2943035199994,2.4862569954e-06,4.075547975055398e-06,6.561804970455398e-06
15,1550.1317536799995,3.029668281e-06,4.677783128193743e-06,7.707451409193742e-06
16,1549.8066539999995,3.6429605010000003e-06,6.100052378928412e-06,9.743012879928411e-06
17,1549.4815543199995,4.316613783e-06,7.817629062041862e-06,1.2134242845041862e-05
18,1549.3190044799994,426.9474971,8.34163509589845e-06,426.94750544163514
19,1548.9939047999994,4.432195395000001e-06,8.98228772512287e-06,1.341448312012287e-05
20,1548.8313549599995,5.368700625e-06,9.395715932696259e-06,1.4764416557696258e-05
21,1548.5062552799996,6.412005648000001e-06,1.311074871777793e-05,1.952275436577793e-05
22,1548.3437054399994,7.555448664e-06,1.4968265110320066e-05,2.2523713774320066e-05
23,1548.0186057599994,8.795629042000002e-06,1.8683297895401737e-05,2.7478926937401737e-05
24,1547.6935060799997,1.0126091782e-05,2.469165246012447e-05,3.4817744242124474e-05
25,1547.5309562399996,1.1555897815e-05,2.8147063424244497e-05,3.97029612392445e-05
26,1547.2058565599996,1.3075773279e-05,3.5057885352479724e-05,4.8133658631479726e-05
27,1547.0433067199997,1.4676848105000001e-05,3.8513296316594914e-05,5.319014442159491e-05
28,1546.7182070399997,1.6348631293e-05,5.063001518728438e-05,6.697864648028438e-05
29,1546.5556571999996,1.8110447412e-05,5.696182983915151e-05,7.507227725115151e-05
30,1546.2305575199996,1.9973186962000003e-05,6.962545914287692e-05,8.959864610487692e-05
31,1546.0680076799997,2.1891993512000003e-05,7.68753000642589e-05,9.876729357625891e-05
32,1545.7429079999997,2.3835009993000003e-05,9.948981167564027e-05,0.00012332482166864026
33,1545.4178083199997,2.5874362974e-05,0.00012210432328702166,0.00014797868626102167
34,1545.2552584799998,2.7934899455000004e-05,0.00013341157909270443,0.00016134647854770443
35,1544.9301587999998,3.0058102436e-05,0.0001706370667685152,0.0002006951692045152
36,1544.7676089599997,3.2249509055e-05,0.00019131537914085912,0.00022356488819585914
37,1544.4425092799997,3.4439641312e-05,0.00023267200388551806,0.0002671116451975181
38,1544.2799594399999,3.6516606345e-05,0.0002533503162578331,0.00028986692260283306
39,1543.9548597599999,3.859014743e-05,0.00032567329543986177,0.00036426344286986175
40,1543.6297600799999,4.056702767e-05,0.0004052295967058737,0.0004457966243758737
41,1543.4672102399998,4.245566779000001e-05,0.0004450077473389075,0.0004874634151289075
42,1543.1421105599998,4.427470241000001e-05,0.0005384074450415295,0.0005826821474515296
43,1542.9795607199999,4.595344803000001e-05,0.0006155095760568262,0.0006614630240868262
44,1542.65446104,4.755863653e-05,0.0007697138380875273,0.0008172724746175273
45,1542.4919111999998,4.903743034e-05,0.0008468159691029318,0.0008958533994429318
46,1542.1668115199998,5.035439153e-05,0.0009750582860265665,0.0010254126775565665
47,1542.0042616799997,5.1650622220000006e-05,0.0008367220561667526,0.0008883726783867526
48,1541.6791619999997,3.617483533600001e-05,0.0005600495964473183,0.0005962244317833183
49,1541.3540623199997,7.296177253e-06,0.00028337713672788386,0.00029067331398088385
50,1541.1915124799998,7.094533839e-06,0.00014504090686826343,0.00015213544070726343
51,1540.8664127999998,6.908162025000001e-06,0.00010259922237722084,0.00010950738440222085
52,1540.7038629599997,6.727647211e-06,8.951226300144295e-05,9.623991021244294e-05
53,1540.3787632799997,6.558493647e-06,6.333834424990546e-05,6.989683789690546e-05
54,1540.2162134399998,6.387473333e-06,5.025138487414586e-05,5.663885820714586e-05
55,1539.8911137599998,6.233263288e-06,4.0601190519187225e-05,4.683445380718723e-05
56,1539.7285639199997,6.082656124000001e-06,3.7715784999277746e-05,4.379844112327775e-05
57,1539.4034642399997,5.935070579e-06,3.194497395946283e-05,3.7880044538462826e-05
58,1539.2409143999998,5.800809734e-06,2.9059568439557388e-05,3.4860378173557385e-05
59,1538.9158147199998,5.660915139000001e-06,3.145038442098731e-05,3.7111299559987314e-05
60,1538.7532648799997,5.531527994e-06,3.452526147881197e-05,4.005678947281197e-05
61,1538.4281651999997,5.410872668e-06,4.067501559445697e-05,4.608588826245697e-05
62,1538.1030655199997,5.288624773e-06,4.7613422756326785e-05,5.2902047529326784e-05
63,1537.9405156799999,5.168216147e-06,5.7318704483901786e-05,6.248692063090179e-05
64,1537.6154159999999,5.0547915209999995e-06,7.672926793906536e-05,8.178405946006536e-05
65,1537.4528661599998,4.9462011449999996e-06,8.643454966665394e-05,9.138075081165395e-05
66,1537.1277664799998,4.836026587999999e-06,0.00010584511312181752,0.00011068113970981752
67,1536.9652166399999,4.7355097310000005e-06,0.00012381791436471006,0.00012855342409571005
68,1536.64011696,4.628019874e-06,0.00016226590509758673,0.00016689392497158673
69,1536.4775671199998,4.527533267e-06,0.0001814899004640385,0.0001860174337310385
70,1536.1524674399998,4.43472616e-06,0.00021993789119691514,0.00022437261735691513
71,1535.9899175999997,4.335281822e-06,0.0002470858297273842,0.0002514211115493842
72,1535.6648179199997,4.2410599840000005e-06,0.00031117086124507893,0.00031541192122907895
73,1535.3397182399997,4.147302646000001e-06,0.00037525589276277366,0.00037940319540877363
74,1535.1771683999998,4.0537480079999995e-06,0.0004072984085215986,0.0004113521565295986
75,1534.8520687199998,3.958975739000001e-06,0.0004926651283937841,0.0004966241041327841
76,1534.6895188799997,3.87363557e-06,0.000540267015901675,0.000544140651471675
77,1534.3644191999997,3.784772601e-06,0.0006354707909173904,0.0006392555635183904
78,1534.2018693599998,3.697699532e-06,0.0006830726784252146,0.0006867703779572146
79,1533.8767696799998,3.612162432000001e-06,0.0007954114015709516,0.0007990235640029516
80,1533.7142198399997,3.5251295319999995e-06,0.0008583481906357395,0.0008618733201677395
81,1533.3891201599997,3.444587731999999e-06,0.0009842217687652272,0.0009876663564972272
82,1533.2265703199998,3.3582175319999995e-06,0.001047158557829927,0.001050516775361927
83,1532.9014706399998,3.276827201e-06,0.0011743697733998617,0.0011776466006008617
84,1532.7389207999997,3.19483397e-06,0.0012388494116759344,0.0012420442456459345
85,1532.4138211199997,3.113399339e-06,0.0013678086882279894,0.0013709220875669894
86,1532.0887214399997,3.032990627e-06,0.0014967679647800447,0.0014998009554070446
87,1531.9261715999999,2.950952465e-06,0.0015524531381308194,0.0015554040905958193
88,1531.6010719199999,2.870536053e-06,0.0016528867898803264,0.0016557573259333264
89,1531.4385220799998,2.790724791e-06,0.0017031036157551152,0.001705894340546115
90,1531.1134223999998,2.712691598e-06,0.0018035372675046222,0.0018062499591026222
91,1530.9508725599999,2.6358358360000002e-06,0.0018482006532680613,0.0018508364891040613
92,1530.6257728799999,2.557300312e-06,0.001918305071926365,0.0019208623722383649
93,1530.4632230399998,2.4793805690000005e-06,0.001953357281255541,0.001955836661824541
94,1530.1381233599998,2.402649876e-06,0.002023461699913845,0.002025864349789845
95,1529.9755735199997,2.3272605519999998e-06,0.0020567275675979525,0.0020590548281499525
96,1529.6504738399997,2.252043678e-06,0.002095985056974828,0.002098237100652828
97,1529.3253741599997,2.175134123e-06,0.0021352425463517038,0.002137417680474704
98,1529.1628243199998,2.101907349e-06,0.0021548712910401282,0.0021569731983891284
99,1528.8377246399998,2.0269614439999997e-06,0.0021812860844047186,0.0021833130458487186
100,1528.6751747999997,1.9540469890000004e-06,0.0021860751430104906,0.0021880291899994907
101,1528.3500751199997,1.8821991340000004e-06,0.002195653260222027,0.002197535459356027
102,1528.1875252799998,1.809635329e-06,0.002200442318827792,0.002202251954156792
103,1527.8624255999998,1.7360067239999998e-06,0.002201726980714661,0.002203462987438661
104,1527.6998757599997,1.6680920379999999e-06,0.002193031588940386,0.0021946996809783857
105,1527.3747760799997,1.598328702e-06,0.0021756408053918474,0.0021772391340938472
106,1527.2122262399998,1.528802816e-06,0.0021669454136175846,0.0021684742164335847
107,1526.8871265599998,1.46285178e-06,0.0021453136943919144,0.0021467765461719145
108,1526.7245767199997,1.394738594e-06,0.0021249880780892685,0.0021263828166832683
109,1526.3994770399997,1.3300105079999998e-06,0.0020843368454840053,0.0020856668559920055
110,1526.0743773599997,1.264334541e-06,0.0020436856128787416,0.0020449499474197415
111,1525.9118275199999,1.202726195e-06,0.0020222844683930917,0.0020234871945880918
112,1525.5867278399999,1.1429221880000001e-06,0.0019628067856779187,0.0019639497078659186
113,1525.4241779999998,1.084208792e-06,0.001933067944320311,0.001934152153112311
114,1525.0990783199998,1.026055955e-06,0.001873590261605138,0.001874616317560138
115,1524.9365284799999,9.69861838e-07,0.0018438514202475723,0.0018448212820855723
116,1524.6114287999999,9.14136012e-07,0.0017711575307793313,0.0017720716667913312
117,1524.4488789599998,8.59046615e-07,0.0017343279418750228,0.0017351869884900228
118,1524.1237792799998,8.10435528e-07,0.001660668764066457,0.0016614791995944568
119,1523.9612294399997,7.591442719999999e-07,0.0016238391751621482,0.0016245983194341483
120,1523.6361297599997,7.093502319e-07,0.003680687696620234,0.003681397046852134
121,1523.3110300799997,1.677254844e-06,0.006247920490652455,0.006249597745496455
122,1523.1484802399998,4.383603749e-06,0.007531536887667669,0.007535920491416668
123,1522.8233805599998,4.122763709e-06,0.0094442916445936,0.009448414408302599
124,1522.6608307199997,3.8903180619999995e-06,0.009209482848142402,0.009213373166204401
125,1522.3357310399997,3.695405808e-06,0.008739865255240334,0.008743560661048333
126,1522.1731811999998,3.5313460170000003e-06,0.008505056458789463,0.008508587804806464
127,1521.8480815199998,3.382160268e-06,0.008049683733523308,0.008053065893791308
128,1521.6855316799997,3.256326082e-06,0.007859880764013878,0.007863137090095878
129,1521.3604319999997,3.1480214879999998e-06,0.007480274824995281,0.007483422846483281
130,1521.1978821599998,3.054799875e-06,0.007290471855486116,0.007293526655361116
131,1520.8727824799998,2.9928383749999995e-06,0.006917977806215526,0.006920970644590526
132,1520.7102326399997,2.925648356e-06,0.006763382379370839,0.006766308027726839
133,1520.3851329599997,2.8874519580000003e-06,0.006454191525681682,0.006457078977639682
134,1520.0600332799997,2.8553642019999998e-06,0.006145000671992524,0.006147856036194524
135,1519.8974834399999,2.8263606669999995e-06,0.005992860705303284,0.0059956870659702835
136,1519.5723837599999,2.809882933e-06,0.005739803350296745,0.005742613233229744
137,1519.4098339199998,2.80591847e-06,0.005613274672793387,0.005616080591263387
138,1519.0847342399998,2.821069178e-06,0.005360217317786848,0.005363038386964848
139,1518.9221843999999,2.833308297e-06,0.005233688640283667,0.005236521948580666
140,1518.5970847199997,2.844097937e-06,0.005025071462795701,0.005027915560732701
141,1518.4345348799998,2.875986767e-06,0.004921067248767207,0.004923943235534207
142,1518.1094351999998,2.9027681980000004e-06,0.004713058820710074,0.004715961588908074
143,1517.9468853599997,2.94522105e-06,0.004609054606681435,0.004611999827731435
144,1517.6217856799997,2.991672492e-06,0.0044343809603663836,0.004437372632858384
145,1517.4592358399998,3.0319761349999994e-06,0.004348313510700022,0.0043513454868350215
146,1517.1341361599998,3.084354932e-06,0.0041761786113671765,0.0041792629662991765
147,1516.8090364799998,3.142524198e-06,0.004014722272268289,0.004017864796466289
148,1516.6464866399997,3.202717521e-06,0.003943008716431397,0.003946211433952397
149,1516.3213869599997,3.270532966e-06,0.003799581604757714,0.003802852137723714
150,1516.1588371199998,3.3452442269999998e-06,0.0037278680489209234,0.003731213293147923
151,1515.8337374399998,3.414546725e-06,0.003591746609730212,0.003595161156455212
152,1515.6711875999997,3.4832858149999996e-06,0.0035316397487238907,0.0035351230345388907
153,1515.3460879199997,3.570503636e-06,0.0034114260267113315,0.0034149965303473316
154,1515.1835380799998,3.6471053125e-06,0.003351319165705094,0.003354966271017594
155,1514.8584383999998,3.7324296115000006e-06,0.003235985742894632,0.0032397181725061317
156,1514.6958885599997,3.816990218499999e-06,0.0031853565991117327,0.0031891735893302326
157,1514.3707888799997,3.907173731300001e-06,0.0030840983115460047,0.0030880054852773045
158,1514.2082390399999,4.003361916499999e-06,0.003033469167763176,0.0030374725296796763
159,1513.8831393599999,4.0860066865999994e-06,0.0029352873764441493,0.0029393733831307492
