,hookload,depth,friction_factor,torque,rig_state
0,324.69589824316887,17407.51,0.0,0.0,off_bottom_static
1,359.0623372373515,17407.51,0.15,6.469791480560693,off_bottom_POOH
2,414.1536818510348,17407.51,0.3,16.826293592086543,off_bottom_POOH
3,502.3864182738369,17407.51,0.45,33.397617024650096,off_bottom_POOH
4,291.3473096296373,17407.51,-0.15,6.278926415935548,off_bottom_RIH
5,244.12052753378754,17407.51,-0.3,15.160804634131626,off_bottom_RIH
6,171.61671855710983,17407.51,-0.45,28.782935446327887,off_bottom_RIH
7,358.5905125448392,17407.51,0.15,6.381031510409086,off_bottom_ROB
8,408.4801763795582,17407.51,0.3,15.760214478524732,off_bottom_ROB
9,475.30761651205484,17407.51,0.45,28.312952862211368,off_bottom_ROB
10,324.4809747464242,17207.423678160918,0.0,0.0,off_bottom_static
11,358.4097922560556,17207.423678160918,0.15,6.387475979414461,off_bottom_POOH
12,412.80043047928996,17207.423678160918,0.3,16.612860442716233,off_bottom_POOH
13,499.8311733755071,17207.423678160918,0.45,32.9602839257694,off_bottom_POOH
14,292.0544622363103,17207.423678160918,-0.15,6.107099569786932,off_bottom_RIH
15,246.24757022101173,17207.423678160918,-0.3,14.72464833508055,off_bottom_RIH
16,176.70812991988396,17207.423678160918,-0.45,27.793996353895487,off_bottom_RIH
17,357.94301242906215,17207.423678160918,0.15,6.299669994985054,off_bottom_ROB
18,407.2021650380743,17207.423678160918,0.3,15.560822024033692,off_bottom_ROB
19,473.1251124143232,17207.423678160918,0.45,27.945012979885096,off_bottom_ROB
20,323.34199218268935,17007.337356321837,0.0,0.0,off_bottom_static
21,356.708821428592,17007.337356321837,0.15,6.282174710747805,off_bottom_POOH
22,410.23720718302286,17007.337356321837,0.3,16.346332689367774,off_bottom_POOH
23,495.80766300780397,17007.337356321837,0.45,32.42083388710282,off_bottom_POOH
24,291.8290418380037,17007.337356321837,-0.15,5.935677154109317,off_bottom_RIH
25,247.37334347892957,17007.337356321837,-0.3,14.299991574383178,off_bottom_RIH
26,180.3997924958891,17007.337356321837,-0.45,26.8889494219722,off_bottom_RIH
27,356.24848599050586,17007.337356321837,0.15,6.19556896810697,off_bottom_ROB
28,404.73027633274637,17007.337356321837,0.3,15.311375098250581,off_bottom_ROB
