,Description,Eff. Tension,Bend. Moment,API M1,vM stress
0,30 ft TSJ,3496.834228515625,581.9867320711934,0.5001068113663941,186314.281715951
1,Start and End Buoyancy Hydrodynamic Coeffs,3626.3740234375,563.978272030653,0.48800579310991526,181166.67584365213
2,Start and End Buoyancy Very High Hydrodynamic Coeffs,3624.124755859375,562.5159697781461,0.4876367102976567,181002.69990069667
