,Description,Eff. Tension,Bend. Moment,API M1,vM stress
0,GA1 Seed1,9863.71484375,156.9963638874859,0.6432260957628787,231578.00108001407
1,GA1 Seed2,9342.3935546875,146.46949512567517,0.6137107936719736,221013.4337323857
