,Description,Eff. Tension,Bend. Moment,API M1,vM stress
0,30 ft TSJ,12563.3642578125,326.2161940582507,0.8284274467996444,298994.67397136067
1,Start and End Buoyancy Hydrodynamic Coeffs,12546.841796875,326.4700518198884,0.8275161535609129,298670.1324541759
2,Start and End Buoyancy Very High Hydrodynamic Coeffs,12547.6474609375,326.45409678041824,0.8275950840077879,298699.5465520652
