,OD,ID,t,Pd,Pa,Pt,Pb
0,16.0,14.0,1.0,3872.690461505494,4356.7767691936815,6440.0521520399425,6454.484102509157
1,16.2,14.0,1.1,4351.988550609818,4895.987119436047,7039.174763420355,7253.314251016364
2,16.4,14.0,1.2,4825.405533079793,5428.581224714768,7630.945991507819,8042.342555132988
3,16.6,14.0,1.3,5293.083986499262,5954.719484811671,8215.54405828215,8821.806644165437
4,16.8,14.0,1.4,5755.161365654689,6474.556536361525,8793.140782226437,9591.935609424481
5,17.0,14.0,1.5,6211.770245049001,6988.241525680126,9363.901881469325,10352.950408415001
6,17.2,14.0,1.6,6663.038547232203,7495.918365636229,9927.987259198333,11105.064245387006
7,17.4,14.0,1.7,7109.089757932919,7997.725977674535,10485.551272574225,11848.4829298882
8,17.6,14.0,1.8,7550.043128895764,8493.798520007736,11036.742986277786,12583.405214826274
9,17.8,14.0,1.9,7986.0138692582705,8984.265602915555,11581.706411730922,13310.023115430451
10,18.0,14.0,2.0,8417.113326235736,9469.252492015205,12120.580732952752,14028.522210392895
