,OD,ID,t,Pd,Pa,Pt,Pb
0,12.0,10.0,1.0,5255.067150003435,5911.950543753865,8793.140782226437,8758.445250005725
1,12.2,10.0,1.1,5892.817207186985,6629.419358085358,9590.328353705885,9821.362011978308
2,12.4,10.0,1.2,6520.196883982892,7335.221494480755,10374.55294970076,10866.994806638155
3,12.6,10.0,1.3,7137.538054152623,8029.730310921701,11146.229412412933,11895.896756921038
4,12.8,10.0,1.4,7745.156911054344,8713.301524936138,11905.752983540075,12908.594851757241
5,13.0,10.0,1.5,8343.354940171484,9386.274307692922,12653.500519936508,13905.591566952475
6,13.2,10.0,1.6,8932.419817393697,10048.97229456791,13389.831616464267,14887.366362322828
7,13.4,10.0,1.7,9512.626239749769,10701.70451971849,14115.089644409356,15854.377066249615
8,13.6,10.0,1.8,10084.236694597845,11344.766281422577,14829.602712969452,16807.061157663076
9,13.8,10.0,1.9,10647.502172664186,11978.43994424721,15533.684560552376,17745.83695444031
10,14.0,10.0,2.0,11202.662829778537,12602.995683500856,16227.635381945322,18671.104716297563
