,OD,ID,t,Pd,Pa,Pt,Pb
0,12.0,10.0,1.0,6134.532308096333,6901.348846608375,8793.140782226437,10224.220513493889
1,12.2,10.0,1.1,6772.2823652798925,7618.81766093988,9590.328353705885,11287.137275466488
2,12.4,10.0,1.2,7399.662042075793,8324.619797335268,10374.55294970076,12332.770070126322
3,12.6,10.0,1.3,8017.003212245527,9019.12861377622,11146.229412412933,13361.672020409213
4,12.8,10.0,1.4,8624.62206914725,9702.699827790657,11905.752983540075,14374.370115245416
5,13.0,10.0,1.5,9222.820098264392,10375.67261054744,12653.500519936508,15371.366830440653
6,13.2,10.0,1.6,9811.884975486597,11038.370597422423,13389.831616464267,16353.141625810995
7,13.4,10.0,1.7,10392.09139784267,11691.102822573006,14115.089644409356,17320.152329737786
8,13.6,10.0,1.8,10963.701852690749,12334.164584277094,14829.602712969452,18272.83642115125
9,13.8,10.0,1.9,11526.967330757085,12967.838247101721,15533.684560552376,19211.612217928476
10,14.0,10.0,2.0,12082.127987871445,13592.393986355377,16227.635381945322,20136.879979785743
