,OD,ID,t,Pd,Pa,Pt,Pb
0,14.0,12.0,1.0,4459.083527024019,5016.468967902022,7434.494599718886,7431.805878373365
1,14.2,12.0,1.1,5006.369298918668,5632.165461283502,8118.601814587202,8343.948831531114
2,14.4,12.0,1.2,5546.000473030065,6239.250532158824,8793.140782226437,9243.334121716776
3,14.6,12.0,1.3,6078.188220861973,6837.96174846972,9458.375467016327,10130.313701436622
4,14.8,12.0,1.4,6603.13509413008,7428.526980896341,10114.559058601466,11005.225156883467
5,15.0,12.0,1.5,7121.035487605066,8011.164923555701,10761.934550445194,11868.392479341777
6,15.2,12.0,1.6,7632.076071301107,8586.085580213747,11400.73528006525,12720.126785501845
7,15.4,12.0,1.7,8136.436194414287,9153.490718716073,12031.18543395672,13560.726990690478
8,15.6,12.0,1.8,8634.288263198116,9713.57429609788,12653.500519936508,14390.480438663526
9,15.8,12.0,1.9,9125.79809476869,10266.522856614776,13267.887809399723,15209.66349128115
10,16.0,12.0,2.0,9611.125248655975,10812.515904737973,13874.546751758826,16018.542081093292
