,OD,ID,t,Pd,Pa,Pt,Pb
0,18.0,16.0,1.0,3422.6897569892026,3850.5259766128534,5680.528580912804,5704.482928315338
1,18.2,16.0,1.1,3849.0255865762138,4330.153784898241,6213.448367896561,6415.04264429369
2,18.4,16.0,1.2,4270.701914919705,4804.539654284669,6740.543778325932,7117.836524866176
3,18.6,16.0,1.3,4687.819490968659,5273.796927339742,7261.940748387129,7813.032484947766
4,18.8,16.0,1.4,5100.475830960148,5738.0353098301675,7777.761173376484,8500.793051600247
5,19.0,16.0,1.5,5508.765355260249,6197.361024667781,8288.123078751616,9181.275592100415
6,19.2,16.0,1.6,5912.77951804011,6651.876957795124,8793.140782226437,9854.63253006685
7,19.4,16.0,1.7,6312.6069302326,7101.682796511675,9292.925047467053,10521.011550387666
8,19.6,16.0,1.8,6708.333476183266,7546.875160706174,9787.58322990538,11180.555793638776
9,19.8,16.0,1.9,7100.042424379469,7987.547727426902,10277.21941515064,11833.404040632448
10,20.0,16.0,2.0,7487.814532615116,8423.791349192006,10761.934550445194,12479.69088769186
