,hookload,friction_factor,depth,rig_state
391,220.97489763435436,0.15,9604.143448275861,off_bottom_POOH
392,228.15005261826295,0.3,9604.143448275861,off_bottom_POOH
393,236.66747386954424,0.45,9604.143448275861,off_bottom_POOH
394,208.408758832822,-0.15,9604.143448275861,off_bottom_RIH
395,201.77781463565933,-0.3,9604.143448275861,off_bottom_RIH
396,193.48859563700665,-0.45,9604.143448275861,off_bottom_RIH
400,211.09384332801392,0.0,9404.05712643678,off_bottom_static
401,216.65477580027678,0.15,9404.05712643678,off_bottom_POOH
402,222.75010325175754,0.3,9404.05712643678,off_bottom_POOH
403,229.62199914235146,0.45,9404.05712643678,off_bottom_POOH
404,205.81289590126767,-0.15,9404.05712643678,off_bottom_RIH
405,200.47603937624294,-0.3,9404.05712643678,off_bottom_RIH
406,194.4531686704215,-0.45,9404.05712643678,off_bottom_RIH
410,208.562725517918,0.0,9203.9708045977,off_bottom_static
411,214.09471583400023,0.15,9203.9708045977,off_bottom_POOH
412,220.23875324256872,0.3,9203.9708045977,off_bottom_POOH
413,227.2505418132825,0.45,9203.9708045977,off_bottom_POOH
414,203.42215017071263,-0.15,9203.9708045977,off_bottom_RIH
415,198.4377912641309,-0.3,9203.9708045977,off_bottom_RIH
416,193.2352890899754,-0.45,9203.9708045977,off_bottom_RIH
420,206.5608080464838,0.0,9003.88448275862,off_bottom_static
421,211.94938926890137,0.15,9003.88448275862,off_bottom_POOH
422,218.05376372666294,0.3,9003.88448275862,off_bottom_POOH
423,225.0541628550895,0.45,9003.88448275862,off_bottom_POOH
424,201.71259733832795,-0.15,9003.88448275862,off_bottom_RIH
425,197.24492274493898,-0.3,9003.88448275862,off_bottom_RIH
426,193.02287800075132,-0.45,9003.88448275862,off_bottom_RIH
430,203.2706455342613,0.0,8803.79816091954,off_bottom_static
431,208.11666152869185,0.15,8803.79816091954,off_bottom_POOH
432,213.43370759252002,0.3,8803.79816091954,off_bottom_POOH
433,219.29328506699326,0.45,8803.79816091954,off_bottom_POOH
434,198.8333340556894,-0.15,8803.79816091954,off_bottom_RIH
435,194.7472809492257,-0.3,8803.79816091954,off_bottom_RIH
436,190.9660235017558,-0.45,8803.79816091954,off_bottom_RIH
440,198.69045836884536,0.0,8603.711839080459,off_bottom_static
441,202.76227707803713,0.15,8603.711839080459,off_bottom_POOH
442,207.11913431344678,0.3,8603.711839080459,off_bottom_POOH
443,211.7923831722154,0.45,8603.711839080459,off_bottom_POOH
444,194.87689417550084,-0.15,8603.711839080459,off_bottom_RIH
445,191.29376252583276,-0.3,8603.711839080459,off_bottom_RIH
446,187.92180967881353,-0.45,8603.711839080459,off_bottom_RIH
450,192.97768658663554,0.0,8403.625517241378,off_bottom_static
451,2503.595520734624,0.15,8403.625517241378,off_bottom_POOH
452,5141.963302003327,0.3,8403.625517241378,off_bottom_POOH
453,8143.278101184662,0.45,8403.625517241378,off_bottom_POOH
454,-2112.0943548745067,-0.15,8403.625517241378,off_bottom_RIH
455,-4745.842741643393,-0.3,8403.625517241378,off_bottom_RIH
456,-7743.703584892888,-0.45,8403.625517241378,off_bottom_RIH
460,186.73907170188517,0.0,8203.539195402298,off_bottom_static
461,189.8929172491226,0.15,8203.539195402298,off_bottom_POOH
462,193.1962997982344,0.3,8203.539195402298,off_bottom_POOH
463,196.65683350800106,0.45,8203.539195402298,off_bottom_POOH
464,183.7275368876535,-0.15,8203.539195402298,off_bottom_RIH
465,180.85145387175226,-0.3,8203.539195402298,off_bottom_RIH
466,178.10431161715226,-0.45,8203.539195402298,off_bottom_RIH
470,182.70979730944873,0.0,8003.452873563218,off_bottom_static
471,185.6695856894623,0.15,8003.452873563218,off_bottom_POOH
472,188.76661923074448,0.3,8003.452873563218,off_bottom_POOH
473,192.00768987489124,0.45,8003.452873563218,off_bottom_POOH
474,179.88079723814153,-0.15,8003.452873563218,off_bottom_RIH
475,177.17644656420262,-0.3,8003.452873563218,off_bottom_RIH
476,174.5909080703871,-0.45,8003.452873563218,off_bottom_RIH
480,179.32337618535854,0.0,7803.366551724138,off_bottom_static
481,182.04005841387257,0.15,7803.366551724138,off_bottom_POOH
482,184.875998286895,0.3,7803.366551724138,off_bottom_POOH
483,187.83667191638744,0.45,7803.366551724138,off_bottom_POOH
484,176.72072270202028,-0.15,7803.366551724138,off_bottom_RIH
485,174.22710486091677,-0.3,7803.366551724138,off_bottom_RIH
486,171.83775447474642,-0.45,7803.366551724138,off_bottom_RIH
490,175.91834863515496,0.0,7603.280229885057,off_bottom_static
491,178.39314487842972,0.15,7603.280229885057,off_bottom_POOH
492,180.970908472319,0.3,7603.280229885057,off_bottom_POOH
493,183.65606297650663,0.45,7603.280229885057,off_bottom_POOH
494,173.54228142277327,-0.15,7603.280229885057,off_bottom_RIH
495,171.26088230098796,-0.3,7603.280229885057,off_bottom_RIH
496,169.0702601845326,-0.45,7603.280229885057,off_bottom_RIH
500,172.497793496529,0.0,7403.193908045977,off_bottom_static
501,182.4180371011986,0.15,7403.193908045977,off_bottom_POOH
502,193.08412288139712,0.3,7403.193908045977,off_bottom_POOH
503,204.54323993826125,0.45,7403.193908045977,off_bottom_POOH
504,163.27844158303884,-0.15,7403.193908045977,off_bottom_RIH
505,154.7167859972142,-0.3,7403.193908045977,off_bottom_RIH
506,146.77048359731953,-0.45,7403.193908045977,off_bottom_RIH
510,169.06732675008925,0.0,7203.1075862068965,off_bottom_static
511,171.1593283188034,0.15,7203.1075862068965,off_bottom_POOH
512,173.33366340901162,0.3,7203.1075862068965,off_bottom_POOH
513,175.59367025627253,0.45,7203.1075862068965,off_bottom_POOH
514,167.0544524100362,-0.15,7203.1075862068965,off_bottom_RIH
515,165.1176256670198,-0.3,7203.1075862068965,off_bottom_RIH
516,163.25388848228707,-0.45,7203.1075862068965,off_bottom_RIH
520,165.63617463293184,0.0,7003.021264367816,off_bottom_static
521,167.57954210748332,0.15,7003.021264367816,off_bottom_POOH
522,169.59863767995358,0.3,7003.021264367816,off_bottom_POOH
523,171.69650133818743,0.45,7003.021264367816,off_bottom_POOH
524,163.76561410273024,-0.15,7003.021264367816,off_bottom_RIH
525,161.96505349979861,-0.3,7003.021264367816,off_bottom_RIH
526,160.231795432687,-0.45,7003.021264367816,off_bottom_RIH
530,162.2058388011757,0.0,6802.9349425287355,off_bottom_static
531,164.00248991396523,0.15,6802.9349425287355,off_bottom_POOH
532,165.86859948038233,0.3,6802.9349425287355,off_bottom_POOH
533,167.80694028585924,0.45,6802.9349425287355,off_bottom_POOH
534,160.47598122703957,-0.15,6802.9349425287355,off_bottom_RIH
535,158.81035590082203,-0.3,6802.9349425287355,off_bottom_RIH
536,157.20650107811542,-0.45,6802.9349425287355,off_bottom_RIH
540,158.77549400510551,0.0,6602.848620689655,off_bottom_static
541,160.4295220889614,0.15,6602.848620689655,off_bottom_POOH
542,162.14772760557716,0.3,6602.848620689655,off_bottom_POOH
543,163.9327012263043,0.45,6602.848620689655,off_bottom_POOH
544,157.1831548909256,-0.15,6602.848620689655,off_bottom_RIH
545,155.65011440866863,-0.3,6602.848620689655,off_bottom_RIH
546,154.17407642740187,-0.45,6602.848620689655,off_bottom_RIH
550,155.3452693804673,0.0,6402.762298850575,off_bottom_static
551,156.85372844012815,0.15,6402.762298850575,off_bottom_POOH
552,158.41947721266874,0.3,6402.762298850575,off_bottom_POOH
553,160.04477843328638,0.45,6402.762298850575,off_bottom_POOH
554,153.89192475889442,-0.15,6402.762298850575,off_bottom_RIH
555,152.4916033288833,-0.3,6402.762298850575,off_bottom_RIH
556,151.14229457594084,-0.45,6402.762298850575,off_bottom_RIH
560,151.9142374207001,0.0,6202.675977011494,off_bottom_static
561,234.68448137963247,0.15,6202.675977011494,off_bottom_POOH
562,320.09231828738626,0.3,6202.675977011494,off_bottom_POOH
563,408.20276047626675,0.45,6202.675977011494,off_bottom_POOH
564,70.3009242558382,-0.15,6202.675977011494,off_bottom_RIH
565,-13.883359867361746,-0.3,6202.675977011494,off_bottom_RIH
566,-100.70101708943324,-0.45,6202.675977011494,off_bottom_RIH
570,148.48422701688273,0.0,6002.589655172414,off_bottom_static
571,149.7140824706459,0.15,6002.589655172414,off_bottom_POOH
572,150.99015972077893,0.3,6002.589655172414,off_bottom_POOH
573,152.31426615568918,0.45,6002.589655172414,off_bottom_POOH
574,147.29885493582714,-0.15,6002.589655172414,off_bottom_RIH
575,146.1562940943679,-0.3,6002.589655172414,off_bottom_RIH
576,145.05493608056625,-0.45,6002.589655172414,off_bottom_RIH
580,145.05230957188024,0.0,5802.503333333333,off_bottom_static
581,146.1574162338946,0.15,5802.503333333333,off_bottom_POOH
582,147.30293105940834,0.3,5802.503333333333,off_bottom_POOH
583,148.4903853249043,0.45,5802.503333333333,off_bottom_POOH
584,143.98613626271626,-0.15,5802.503333333333,off_bottom_RIH
585,142.9574758495008,-0.3,5802.503333333333,off_bottom_RIH
586,141.96496019665244,-0.45,5802.503333333333,off_bottom_RIH
590,141.61244417524648,0.0,5602.417011494253,off_bottom_static
591,142.5981420749231,0.15,5602.417011494253,off_bottom_POOH
592,143.6187827465579,0.3,5602.417011494253,off_bottom_POOH
593,144.67563962625286,0.45,5602.417011494253,off_bottom_POOH
594,140.66046035474375,-0.15,5602.417011494253,off_bottom_RIH
595,139.74100508018938,-0.3,5602.417011494253,off_bottom_RIH
596,138.85293445010956,-0.45,5602.417011494253,off_bottom_RIH
600,138.1687485229778,0.0,5402.330689655172,off_bottom_static
601,265.6575281593638,0.15,5402.330689655172,off_bottom_POOH
602,399.9514091438828,0.3,5402.330689655172,off_bottom_POOH
603,541.3305595545178,0.45,5402.330689655172,off_bottom_POOH
604,11.870700376942484,-0.15,5402.330689655172,off_bottom_RIH
605,-121.09705466520458,-0.3,5402.330689655172,off_bottom_RIH
606,-261.00697656925837,-0.45,5402.330689655172,off_bottom_RIH
610,134.7360412741684,0.0,5202.244367816092,off_bottom_static
611,135.47942100745928,0.15,5202.244367816092,off_bottom_POOH
612,136.24666160126924,0.3,5202.244367816092,off_bottom_POOH
613,137.0385398807334,0.45,5202.244367816092,off_bottom_POOH
614,134.01576928447454,-0.15,5202.244367816092,off_bottom_RIH
615,133.31787491221021,-0.3,5202.244367816092,off_bottom_RIH
