RefCurrentDirection,RefCurrentSpeed,WaveDirection,WaveType,WaveHs,WaveTp,WaveGamma,WindDirection,WindSpeed,ProbabilityRatio,ObjectName,SimulationDuration
0,0,0,JONSWAP,0.001,10,Calculated,0,0,0.001,riserChain,600
0,0.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
0,1,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
0,1.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
0,2,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
45,0,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
45,0.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
45,1,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
45,1.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
45,2,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
90,0,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
90,0.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
90,1,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
90,1.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
90,2,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
135,0,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
135,0.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
135,1,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
135,1.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
135,2,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
180,0,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
180,0.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
180,1,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
180,1.5,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
180,2,0,JONSWAP,0.001,10,Calculated,0,6,0.001,riserChain,600
