,0,1
0,,"Loop Current Surface Current Speed Extremes (ft/s), associated profiles and normalization factors"
1,Water Depth,Normalization Return Period
2,(ft),Factor 1-year 10-year 25-year 50-year 100-year
3,0,1.00 2.31 4.08 4.78 5.31 5.85
4,82,1.00 2.30 4.07 4.77 5.30 5.84
5,164,0.98 2.27 4.01 4.71 5.23 5.75
6,246,0.86 1.99 3.52 4.13 4.59 5.05
7,328,0.71 1.64 2.90 3.40 3.78 4.16
8,410,0.60 1.39 2.46 2.89 3.21 3.53
9,492,0.52 1.21 2.13 2.50 2.78 3.06
10,574,0.46 1.05 1.86 2.18 2.42 2.67
11,656,0.40 0.93 1.64 1.93 2.14 2.36
12,738,0.36 0.83 1.47 1.72 1.91 2.10
13,820,0.33 0.75 1.33 1.56 1.74 1.91
14,902,0.30 0.70 1.24 1.45 1.61 1.77
15,984,0.28 0.64 1.13 1.33 1.47 1.62
16,1066,0.26 0.60 1.06 1.25 1.39 1.52
17,1148,0.24 0.56 0.99 1.17 1.30 1.43
18,1230,0.23 0.54 0.95 1.11 1.24 1.36
19,1312,0.22 0.51 0.90 1.05 1.17 1.29
20,1394,0.21 0.47 0.84 0.98 1.09 1.20
21,1476,0.20 0.45 0.80 0.94 1.04 1.14
22,1558,0.19 0.44 0.77 0.90 1.00 1.11
23,1640,0.18 0.42 0.74 0.86 0.96 1.06
24,1722,0.17 0.40 0.70 0.83 0.92 1.01
25,1804,0.17 0.39 0.68 0.80 0.89 0.98
26,1886,0.16 0.37 0.65 0.77 0.85 0.94
27,1969,0.15 0.36 0.63 0.74 0.82 0.90
28,2051,0.15 0.35 0.62 0.72 0.80 0.88
29,2133,0.14 0.33 0.59 0.69 0.77 0.84
30,2215,0.14 0.33 0.58 0.68 0.75 0.83
31,2297,0.14 0.32 0.57 0.66 0.74 0.81
32,2379,0.14 0.32 0.56 0.65 0.73 0.80
33,2461,0.14 0.31 0.55 0.65 0.72 0.79
34,2543,0.13 0.30 0.53 0.62 0.68 0.75
35,2625,0.12 0.28 0.50 0.59 0.65 0.72
36,2707,0.11 0.26 0.46 0.54 0.61 0.67
37,2789,0.10 0.24 0.43 0.50 0.56 0.61
38,2871,0.10 0.22 0.39 0.46 0.51 0.56
39,2953,0.09 0.20 0.36 0.42 0.46 0.51
40,3035,0.08 0.18 0.32 0.38 0.42 0.46
41,3117,0.07 0.17 0.31 0.36 0.40 0.44
42,3199,0.07 0.17 0.30 0.35 0.39 0.43
43,3281,0.08 0.17 0.31 0.36 0.40 0.44
