,component,component_bottom_elevation_from_end_A,stack_length,component_bottom_elevation_above_mudline,component_top_elevation_above_mudline,StressOD,StressID,drag_diameter,buoyancy_diameter,internal_fluid_ID,A,I,J,EI,EA,GJ,stack_in_service_weight,wet_weight_per_unit_length,dry_weight_per_unit_length,internal_fluid_weight_per_unit_length,internal_fluid_weight_in_seawater_per_unit_length,component_bottom_effective_tension,component_top_effective_tension,true_tension,elevation_above_MSL,strain,axial_stretch
0,,0.0,0.0,2920.4107200000003,2920.4107200000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.810719999999947,0.0,0.0
1,Support Spring,0.0,0.0,2920.4107200000003,2920.4107200000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.61609468982611,117.61609468982611,0,24.810719999999947,0.0,0.0
2,Diverter,0.6096,0.6096,2919.8011200000005,2920.4107200000003,0.5334,0.48895,0.5993592298952297,0.5993592298952297,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,5.600766413801244,6.350623228346458,7.299566929133859,1.8880420173904895,0.0,112.01532827602487,117.61609468982611,0,24.201120000000174,1.555251432704559e-05,9.480812733766992e-06
3,Upper FJ,0.6096,0.0,2919.8011200000005,2919.8011200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.01532827602487,112.01532827602487,0,24.201120000000174,0.0,0.0
4,15ft Pup Jt.,0.6096,0.0,2919.8011200000005,2919.8011200000005,0.549402,0.4890515999999999,1.3659958512742314,1.3659958512742314,0.4890516,0.049221759095202926,0.001664353875559517,0.003328707751119034,344258.8668523381,10181144.322385646,264814.51296333695,0.0,96.29004727559057,109.13728507086614,1.8888267397500116,0.0,112.01532827602487,112.01532827602487,0,24.201120000000174,0.0,0.0
5,Inner Barrel,12.8016,12.192,2907.6091200000005,2919.8011200000005,0.5334,0.48895,0.5993592298952297,0.5993592298952297,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,112.01532827602487,6.350623228346457,7.299566929133859,1.8880420173904895,0.0,0.0,112.01532827602487,0,12.009120000000166,7.586592354656385e-06,9.249573398797065e-05
6,Tensioners,12.8016,0.0,2907.6091200000005,2907.6091200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,12.009120000000166,0.0,0.0
7,Outer Barrel & Tension Ring,34.137600000000006,21.336000000000002,2886.2731200000007,2907.6091200000005,0.635,0.5841999999999999,0.967122507190398,0.967122507190398,0.5842,0.0486439179933598,0.0022635068183134853,0.004527013636626971,468189.06954098435,10061622.310953826,360145.4381084495,758.5687525599482,31.395854480314963,36.087181866141734,2.695292230594216,0.0,9907.5869660376,10666.155718597547,0,-9.326879999999619,0.001022386949579545,0.02181364795622917
8,MSL,34.137600000000006,0.0,2895.6000000000004,2895.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9907.5869660376,9907.5869660376,0,0.0,0.0,0.0
9,15ft Pup Jt.,38.70960000000001,4.572,2881.7011200000006,2886.2731200000007,0.549402,0.4890515999999999,1.3659958512742314,1.3659958512742314,0.4890516,0.049221759095202926,0.001664353875559517,0.003328707751119034,344258.8668523381,10181144.322385646,264814.51296333695,440.23809614400005,96.29004727559057,109.13728507086614,1.8888267397500116,0.0,9467.3488698936,9907.5869660376,0,-13.898879999999735,0.0009515107154178551,0.004350306990890434
10,SLK,61.56960000000001,22.86,2858.8411200000005,2881.7011200000006,0.5334,0.48895,0.5768316927773363,0.5768316927773363,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,126.766358208,5.54533500472441,6.285024453543307,1.8880420173904895,0.0,9340.5825116856,9467.3488698936,0,-36.75887999999986,0.001273826632679974,0.029119676823064204
11,RJT_3,335.8896,274.32,2584.5211200000003,2858.8411200000005,0.5334,0.48895,1.0341820080506985,1.0341820080506985,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,-75.00787842240001,-0.27343204440944885,6.285024453543307,1.8880420173904895,0.0,9415.590390108,9340.5825116856,0,-311.07888,0.0012703211259509088,0.3484744912708533
12,FUV,340.4616,4.572,2579.94912,2584.5211200000003,0.549402,0.4890515999999999,0.6650350640789026,0.6650350640789026,0.4890516,0.049221759095202926,0.001664353875559517,0.003328707751119034,344258.8668523381,10181144.322385646,264814.51296333695,54.96412723200002,12.021900094488192,13.625858267716536,1.8888267397500116,0.0,9360.626262876,9415.590390108,0,-315.65088000000014,0.0009221073809797618,0.004215874945839471
