,component,component_bottom_elevation_from_end_A,stack_length,component_bottom_elevation_above_mudline,component_top_elevation_above_mudline,StressOD,StressID,drag_diameter,buoyancy_diameter,internal_fluid_ID,A,I,J,EI,EA,GJ,stack_in_service_weight,wet_weight_per_unit_length,dry_weight_per_unit_length,internal_fluid_weight_per_unit_length,internal_fluid_weight_in_seawater_per_unit_length,component_bottom_effective_tension,component_top_effective_tension,true_tension,elevation_above_MSL,strain,axial_stretch
13,RJT_3,774.8016,434.34,2145.60912,2579.94912,0.5334,0.48895,1.0341820080506985,1.0341820080506985,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,-118.76247416880001,-0.27343204440944885,6.285024453543307,1.8880420173904895,0.0,9479.3887370448,9360.626262876,0,-749.9908800000003,0.001275999597196226,0.5542176650462087
14,RJT_5,1392.0216,617.22,1528.38912,2145.60912,0.5334,0.48895,1.0041385731529784,1.0041385731529784,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,129.7326055536,0.21018859653543306,6.285024453543307,1.8880420173904895,0.0,9349.6561314912,9479.3887370448,0,-1367.2108800000003,0.0012752566103552783,0.7871138850434849
15,RJT_7,1986.3816000000002,594.36,934.02912,1528.38912,0.5334,0.48895,0.9634929438960093,0.9634929438960093,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,500.323961592,0.8417860582677165,6.285024453543307,1.8880420173904895,0.0,8849.3321698992,9349.6561314912,0,-1961.5708800000002,0.0012325840367988347,0.7325986481117555
16,RJT_9,2580.7416000000003,594.36,339.66912,934.02912,0.5334,0.48895,0.9132618168409488,0.9132618168409488,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,942.8234542272003,1.5862834885039374,6.285024453543307,1.8880420173904895,0.0,7906.508715672,8849.3321698992,0,-2555.9308800000003,0.0011348423141256938,0.6745048778237474
17,RJT_10,2786.4816,205.74,133.92912,339.66912,0.5334,0.48895,0.9004766702148043,0.9004766702148043,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,364.03944696,1.7694150236220472,6.285024453543307,1.8880420173904895,0.0,7542.4692687120005,7906.508715672,0,-2761.6708800000006,0.0010463308912041851,0.21527211755634906
18,SLK,2900.7816000000003,114.3,19.629120000000015,133.92912,0.5334,0.48895,0.5768316927773363,0.5768316927773363,0.48895,0.03569120805892999,0.0011679672624610195,0.002335934524922039,241585.09329050407,7382453.349248018,185834.6871465416,633.83179104,5.54533500472441,6.285024453543307,1.8880420173904895,0.0,6908.637477672,7542.4692687120005,0,-2875.9708800000003,0.0009787469058545424,0.1118707713391742
19,Riser Adaptor,2902.3056,1.524,18.10512,19.62912,0.5651499999999999,0.48895,0.7071741345528488,0.7071741345528488,0.48895,0.06308508114763846,0.002201932022273299,0.004403864044546598,455452.7940272615,13048666.434518239,350348.3030978935,23.557325904000002,15.45756292913386,17.51896062992126,1.8880420173904895,0.0,6885.080151768,6908.637477672,0,-2877.49488,0.0005285489401794672,0.0008055085848335079
20,Lower FJ,2902.3056,0.0,18.10512,18.10512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6885.080151768,6885.080151768,0,-2877.49488,0.0,0.0
21,LMRP,2909.37696,7.07136,11.03376,18.10512,0.762,0.508,1.8147187063158292,1.8147187063158292,0.508,0.25335373954874885,0.013280613011840749,0.026561226023681498,2746993.2048097188,52404282.86955116,2113071.696007476,1127.0182477680003,159.3778633484931,183.34750161553077,2.038028151678046,0.0,5758.061904,6885.080151768,0,-2884.5662400000006,0.00012063080881423659,0.0008530238762166401
22,BOP,2918.88672,9.50976,1.524000000000001,11.033760000000001,0.762,0.508,2.3584442857892842,2.3584442857892842,0.508,0.25335373954874885,0.013280613011840749,0.026561226023681498,2746993.2048097188,52404282.86955116,2113071.696007476,2648.6862267600004,278.52293083737135,320.41215074954573,2.038028151678046,0.0,3109.3756772399997,5758.061904,0,-2894.0760000000005,8.460603881665091e-05,0.0008045831236970342
23,Wellhead,2919.4963199999997,0.6096,0.9144,1.524,0.9144,0.8128,1.0475796870390297,1.0475796870390297,0.8128,0.13782443431451935,0.012893227746141522,0.025786455492283044,2666865.526097116,28507929.881035823,2051435.0200747047,14.072320609200002,23.08451543503937,26.533925787401575,5.217352068295797,0.0,3095.3033566308,3109.3756772399997,0,-2894.6856000000002,0.00010882373886429237,6.633895121167263e-05
24,Mudline,2919.4963199999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3095.3033566308,3095.3033566308,0,-2895.6000000000004,0.0,0.0
25,Conductor Program,2980.45632,60.96,-60.0456,0.9144,0.9144,0.8128,0.9139778904758673,0.9139778904758673,0.8128,0.13782443431451935,0.012893227746141522,0.025786455492283044,2666865.526097116,28507929.881035823,2051435.0200747047,562.8928243680001,9.233806174015749,10.613570314960631,5.217352068295797,0.0,2532.4105322627997,3095.3033566308,0,-2955.6456000000003,9.870435896920901e-05,0.006017017722762981
