,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,service_life
19,0.08912524866345571,0.8837248753385529,0.6673520951086511,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.7965983359653043,1,thin_pipe,internal_surface,circumferential,90,1.9000000000000001
20,0.09254832627930436,0.8837020138588283,0.6674064792760046,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.8595805931102423,1,thin_pipe,internal_surface,circumferential,90,2.0
21,0.09681050260131764,0.8836723147967149,0.6674771290669922,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",0.9413506115351972,1,thin_pipe,internal_surface,circumferential,90,2.1
22,0.10229777918986459,0.8836320601126786,0.6675728891621285,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.0520937824950163,1,thin_pipe,internal_surface,circumferential,90,2.2
23,0.10971606298567345,0.8835740154260114,0.6677109691110951,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.2115961753632587,1,thin_pipe,internal_surface,circumferential,90,2.3000000000000003
24,0.12055038625070329,0.8834817218348486,0.6679305222707287,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.464765719166921,1,thin_pipe,internal_surface,circumferential,90,2.4000000000000004
25,0.13873563907279823,0.8833065834473751,0.6683471512680239,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.9436606001102348,1,thin_pipe,internal_surface,circumferential,90,2.5
26,0.1800268324977826,0.8828130395149156,0.6695212211944859,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",3.282109660179356,1,thin_pipe,internal_surface,circumferential,90,2.6
27,0.45222230282269904,0.8741033343181344,0.6892837702051142,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",20.82822529200143,1,thin_pipe,internal_surface,circumferential,90,2.7
28,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,2.8000000000000003
29,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,2.9000000000000004
30,inf,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",inf,1,thin_pipe,internal_surface,circumferential,90,3.0
