,component,service_life,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,initial_flaw_depth,initial_flaw_length,final_flaw_depth,final_flaw_length,K_r,L_r,K_r_allowable
0,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,9.1,5,45.890094965558326,5,0.6322353893486732,1.0161489077846215,0.5428825851798948
1,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,7.300000000000001,10,23.631043560318037,10,0.45356010697818305,1.0523131348509867,0.38193131682159315
2,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,6.9,15,20.223181463907824,15,0.41958657358171203,1.0700081657601235,0.32297055301092714
3,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,6.5,20,17.28060092445354,20,0.3878640823449381,1.0730843980356195,0.31377798786629013
4,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,6.2,25,15.350758714294583,25,0.3655673830913097,1.0770843468893263,0.3022572777921613
5,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,5.9,30,13.623286205789167,30,0.3443862129845965,1.0651146420373931,0.33820612128932015
6,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,5.800000000000001,35,13.086845756550069,35,0.3375383022316043,1.0879207740226255,0.2733125516220754
7,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,5.6000000000000005,40,12.072096007521342,40,0.32418908836698357,1.0795068146150835,0.2955054513345717
8,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,5.4,50,11.124970959561763,50,0.31121316257065107,1.0926091661523971,0.2617460212103365
9,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,5.2,60,10.24767929926373,60,0.2986913913905921,1.0907902673363963,0.2661677803601165
10,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,5.0,80,9.43446677384721,80,0.28659593233628233,1.1071122433611733,0.0
11,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,4.800000000000001,100,8.678255716181477,100,0.274871010656651,1.101680145883075,0.0
12,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,4.7,120,8.320606213479772,120,0.2691478286325628,1.1074253412857855,0.0
13,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,4.6,150,7.973482587263261,150,0.2634742022967073,1.1140310559645479,0.0
14,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,4.4,180,7.3172840016263265,180,0.2524005893439189,1.0881669256489397,0.2726900570259127
15,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,4.4,200,7.3172840016263265,200,0.2524005893439189,1.0979609874475935,0.0
16,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,7.0,5,25.20161232991508,5,0.47973231463511573,1.0324873942298844,0.46243207904229033
17,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,6.9,10,24.169722395862756,10,0.469702967865497,1.0873200993935153,0.2748340586899025
18,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,6.5,15,20.355569693969716,15,0.43105549898292095,1.0697053752373709,0.3238911293193105
19,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,6.1000000000000005,20,17.083525771649256,20,0.3948973744613823,1.0618366881842376,0.34884958899212076
20,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,5.800000000000001,25,14.984201347596136,25,0.3698410289540142,1.058708203591401,0.35935823925850335
21,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,5.6000000000000005,30,13.721656170464989,30,0.35391858120477565,1.0644611579473078,0.3402988112094217
22,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,5.5,35,13.131695708925045,35,0.34622736197086335,1.0847137464378815,0.2815484630967801
23,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,5.3,40,12.016121850447501,40,0.3311958520706917,1.07169284018286,0.31790190644202043
24,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,5.1000000000000005,50,10.980036080022538,50,0.31659666192445696,1.0795937437463048,0.2952654620192689
25,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,5.0,60,10.49589343535449,60,0.30953872936714305,1.0988503601495343,0.0
26,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,4.7,80,9.161432768037347,80,0.28919411424699976,1.0854084657136476,0.27974001892121214
27,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,4.6,100,8.755888126414968,100,0.28272137695343214,1.1018476372592538,0.0
28,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,4.4,120,7.981942561158973,120,0.269938252642245,1.0811189194426274,0.2911054840349715
29,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,4.4,150,7.981942561158973,150,0.269938252642245,1.110984284785452,0.0
30,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,4.300000000000001,180,7.617499874906162,180,0.26370425923337876,1.1062920344527991,0.0
31,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,4.2,200,7.267629760371371,200,0.25757759841730704,1.0917748781686585,0.2637634553115332
32,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,6.5,5,21.723159069346046,5,0.2835246513977089,1.1290613314140707,0.0
33,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,6.4,10,11.647531707033716,10,0.2598807204033364,1.059473915867151,0.35675531787396375
34,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,3.3000000000000003,15,9.361227348599181,15,0.309477767345124,1.1045662215633993,0.0
35,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,2.6,20,7.748091005967788,20,0.34373287437668115,1.0890118597742202,0.27057013054026813
36,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,2.3,25,6.710257991004578,25,0.3571638517307501,1.0684202798368796,0.3278269996293192
37,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,2.1,30,5.864659657138791,30,0.3568754563114944,1.0326542691170524,0.46167937238031587
38,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,2.1,35,6.3437415146909295,35,0.38294747641484195,1.1560234173346016,0.0
39,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,2.0,40,5.960762687638317,40,0.38366221338773693,1.148005342194172,0.0
40,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.8,50,5.00373888047117,50,0.3653074101604494,1.0658761028500463,0.3357836424486398
41,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.7000000000000002,60,4.765920988028553,60,0.36624321593950093,1.0731217058423859,0.31366780564359026
42,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.6,80,5.098073098941496,80,0.40160646625586555,1.2087801756509347,0.0
43,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.4,100,4.233133428708026,100,0.37284391047885473,1.079644499665913,0.2951253377798663
44,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.2,120,3.215414696015512,120,0.3225674096557091,0.9217933221788366,0.7172177803153248
45,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.2,150,5.512529313500925,150,0.4953672231211502,1.4786869839831844,0.0
46,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,180,4.341783387957896,180,0.4525374916446811,1.1904014518480406,0.0
47,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,200,8.514207413915129,200,0.7436777043939388,3.073688417848017,0.0
48,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.8,5,56.63710766640399,5,0.7015492884924823,1.1405486310851933,0.0
49,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.6,10,28.869254952283406,10,0.5012452310543875,1.0058391607236012,0.601506338575434
50,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.5,15,21.49727301623367,15,0.432339452570028,1.1199314162612255,0.0
51,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.4000000000000004,20,16.15410325000106,20,0.37490018410779735,1.0345761347492408,0.45312683181074404
52,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.4000000000000004,25,16.15410325000106,25,0.37480425903977466,1.1091860238276503,0.0
53,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.3,30,12.38004536136694,30,0.32833343108276336,1.0173461576042244,0.53649428311349
54,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.3,35,12.38004536136694,35,0.3281327687584457,1.0563699059658427,0.36743556788598747
55,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.3,40,12.38004536136694,40,0.3281327687584457,1.0936158057309233,0.03739616981651375
56,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.1,50,7.647004245063753,50,0.25854248029309007,0.9419293961676003,0.6980314854291287
57,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.1,60,7.647004245063753,60,0.25840634481598795,0.9669021348043788,0.6729687664254014
58,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.1,80,7.647004245063753,80,0.2581710899851629,1.007867625570564,0.5894450646746957
59,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.1,100,7.647004245063753,100,0.2579808848978803,1.0392650138978643,0.4329842738931448
60,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.1,120,7.647004245063753,120,0.25791390530990305,1.063623669055358,0.34300182746089003
61,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.1,150,7.647004245063753,150,0.25791390530990305,1.0909971681590798,0.26565984146136506
62,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.1,180,7.647004245063753,180,0.25791390530990305,1.110996526395382,0.0
63,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,internal_surface,90,2.0,200,6.181511539713016,200,0.23206725648170257,1.022149498927344,0.5116752072319912
64,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",5,thin_pipe,axial,external_surface,90,2.6,5,63.20887746138669,5,0.7588327986377608,1.239436998266075,0.0
