,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,initial_flaw_depth,initial_flaw_length,service_life
0,0.6278790120243961,0.7563019681709302,0.8772580032312449,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",40.67308618690422,5,thin_pipe,internal_surface,circumferential,90,3.2,5,5
1,0.5117692641842705,0.8581648534299534,0.7224149827518154,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",26.94826944147488,10,thin_pipe,internal_surface,circumferential,90,3.0,10,5
2,0.42389772055142066,0.694958082666555,0.9450571703009495,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",18.492495052735666,15,thin_pipe,internal_surface,circumferential,90,2.8000000000000003,15,5
3,0.42349855725942775,0.4437158056257982,1.0367379571970312,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",18.492495052735666,20,thin_pipe,internal_surface,circumferential,90,2.8000000000000003,20,5
4,0.38785793368718346,0.6449144400237761,0.9934254317581515,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",15.487113426901907,25,thin_pipe,internal_surface,circumferential,90,2.7,25,5
5,0.3876053316471075,0.394604559424116,1.0489024422925453,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",15.487113426901907,30,thin_pipe,internal_surface,circumferential,90,2.7,30,5
6,0.3567550310314822,0.6509662742265988,0.9878193693573627,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",13.093678806446732,35,thin_pipe,internal_surface,circumferential,90,2.6,35,5
7,0.3566072237244051,0.5170955386451138,1.0210789873645332,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",13.093678806446732,40,thin_pipe,internal_surface,circumferential,90,2.6,40,5
8,0.32949758170450544,0.6577372076098575,0.9814775965053785,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",11.16149218457797,50,thin_pipe,internal_surface,circumferential,90,2.5,50,5
9,0.32933215439584546,0.5281257346920979,1.0189375531786091,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",11.16149218457797,60,thin_pipe,internal_surface,circumferential,90,2.5,60,5
10,0.3047720642074634,0.651983957757003,0.986866189430798,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",9.545656141945923,80,thin_pipe,internal_surface,circumferential,90,2.4000000000000004,80,5
11,0.3046002438996196,0.4954355686094348,1.0254326725386849,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",9.545656141945923,100,thin_pipe,internal_surface,circumferential,90,2.4000000000000004,100,5
12,0.3044857309833955,0.35883868000068386,1.0588602447475575,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",9.545656141945923,120,thin_pipe,internal_surface,circumferential,90,2.4000000000000004,120,5
13,0.2828430552276401,0.5791093786776272,1.0096420979452312,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",8.22326495078979,150,thin_pipe,internal_surface,circumferential,90,2.3,150,5
14,0.2827096647711576,0.43490580372113585,1.0388080966433355,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",8.22326495078979,180,thin_pipe,internal_surface,circumferential,90,2.3,180,5
15,0.2826570122877231,0.36705917864439314,1.056477912856627,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",8.22326495078979,200,thin_pipe,internal_surface,circumferential,90,2.3,200,5
0,,,,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",,5,thin_pipe,external_surface,circumferential,90,24.8,5,5
1,,,,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",,10,thin_pipe,external_surface,circumferential,90,24.8,10,5
2,,,,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",,15,thin_pipe,external_surface,circumferential,90,24.8,15,5
3,,,,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",,20,thin_pipe,external_surface,circumferential,90,24.8,20,5
4,0.24252440384424256,0.26184977096172096,1.0925662124596538,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",17.809564540120224,25,thin_pipe,external_surface,circumferential,90,17.8,25,5
5,0.30313353715043523,0.30351259823233323,1.0766405687457994,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",16.076082656697405,30,thin_pipe,external_surface,circumferential,90,12.8,30,5
6,0.3485784622017846,0.3954907136820579,1.048668223755543,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",14.48195089044863,35,thin_pipe,external_surface,circumferential,90,1.1,35,5
7,0.3765892326829031,0.6520763792216254,0.9867796258948559,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",12.405129197774878,40,thin_pipe,external_surface,circumferential,90,0.9,40,5
8,0.4022002358511145,0.6686561285615058,0.9710816140266106,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",11.044008039801286,50,thin_pipe,external_surface,circumferential,90,0.8,50,5
9,0.36485640987722295,0.7674959263690876,0.8634285478894251,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",7.757212164777649,60,thin_pipe,external_surface,circumferential,90,0.7,60,5
10,0.4577671127330047,0.5397182890352813,1.0167395708707567,"20ft Pup Jt., OuterDia, max_dam, @avg elev 761.4",10.270458180299743,80,thin_pipe,external_surface,circumferential,90,0.7,80,5
