,component,service_life,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,initial_flaw_depth,initial_flaw_length,final_flaw_depth,final_flaw_length,K_r,L_r,K_r_allowable
14,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,1.2,180,5.9330600736772885,180,0.22734096213547578,0.9995215583137007,0.6382876095180505
15,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,internal_surface,90,1.2,200,5.9330600736772885,200,0.22729964759589932,1.0065479311116585,0.5972561658358301
16,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.4,5,57.34508222691318,5,0.721685620570092,1.1479450728815759,0.0
17,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.2,10,10.276856779094459,10,0.3070660154223618,0.8234325203492103,0.7974225534406132
18,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.2,15,10.276856779094459,15,0.30691746646839374,0.8571846931892914,0.7724092119983071
19,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.2,20,10.276856779094459,20,0.3067691540356573,0.8886994843745667,0.7467119657185531
20,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.2,25,10.276856779094459,25,0.3066212643953401,0.9183529904675105,0.7204034662732058
21,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.2,30,10.276856779094459,30,0.30647418822894223,0.9463757696216983,0.6936624050944735
22,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.2,35,10.276856779094459,35,0.30632849387167477,0.972903274631822,0.6667480773179827
23,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.2,40,10.276856779094459,40,0.3061848486282913,0.9980154490677502,0.6399248345010087
24,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.2,50,10.276856779094459,50,0.3059063830954994,1.0441929010090565,0.4128706227250466
25,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.2,60,10.276856779094459,60,0.30587006514349036,1.0852596038399165,0.28012565763905084
26,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.0,80,3.2417858301389813,80,0.17302965973872758,0.8326513440523425,0.7908458179131637
27,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.0,100,3.2417858301389813,100,0.1729878054430703,0.8422195940139644,0.783819557082993
28,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.0,120,3.2417858301389813,120,0.17295466498761394,0.8496595424725643,0.7782280458436059
29,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.0,150,3.2417858301389813,150,0.17291678476240127,0.8580244129667753,0.77175903401147
30,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.0,180,3.2417858301389813,180,0.17288873347605418,0.864127753717924,0.7669384761854131
31,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,external_surface,90,1.0,200,3.2417858301389813,200,0.17287384995829422,0.8673358216036754,0.7643808058124537
32,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,5,80.65015583765458,5,0.33032945217184945,6.7794639443942115,0.0
33,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,10,157.52740069228602,10,0.17911933881496836,0.4973581090182301,0.9396171393988572
34,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,15,164.6599860518869,15,0.17681326391189336,0.3035607061223604,0.9775232313003172
35,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,20,166.90391358686648,20,0.19152388557445138,0.23406207560268583,0.9865306571958041
36,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,25,168.14120964969686,25,0.20997239690866668,0.1976583355155418,0.9903538863460623
37,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,30,169.24611641675983,30,0.2289265225318621,0.17484592146156122,0.9924303809792608
38,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1,thin_pipe,axial,embedded,90,1.0,35,170.05139424331117,35,0.24906911568280488,0.15942616243301092,0.9937001784501762
