,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,flaw_depth,flaw_length,K_r,L_r,K_r_allowable
0,thin_pipe,axial,embedded,90,1.0,20,0.12486228232938694,0.5990657433939367,0.9097128513612818
1,thin_pipe,axial,embedded,90,1.1,20,0.1322091170687654,0.6037634446079412,0.9080909943318108
2,thin_pipe,axial,embedded,90,1.2,20,0.13935376245181832,0.6085164964465071,0.9064400395664207
3,thin_pipe,axial,embedded,90,1.3,20,0.14630779051107015,0.6133256745308587,0.904733008276439
4,thin_pipe,axial,embedded,90,1.4,20,0.15307922706554175,0.6181917660993329,0.9029892642398409
5,thin_pipe,axial,embedded,90,1.5,20,0.15967386887077462,0.6231155701776443,0.9011891704796732
6,thin_pipe,axial,embedded,90,1.6,20,0.16609613335289297,0.6280978977512491,0.8993467334462982
7,thin_pipe,axial,embedded,90,1.7000000000000002,20,0.17234960873412764,0.6331395719398116,0.897444949878899
8,thin_pipe,axial,embedded,90,1.8,20,0.17843740933174038,0.6382414281737805,0.895497535404664
9,thin_pipe,axial,embedded,90,1.9,20,0.18436240290169437,0.6434043143730784,0.8934846418207406
10,thin_pipe,axial,embedded,90,2.0,20,0.19012735343788353,0.6486290911279117,0.891425566461332
11,thin_pipe,axial,embedded,90,2.1,20,0.19573500798463425,0.6539166318816977,0.8892912961247383
12,thin_pipe,axial,embedded,90,2.2,20,0.20118814644103042,0.6592678231161153,0.8871134591481019
13,thin_pipe,axial,embedded,90,2.3,20,0.2064896070637049,0.6646835645382744,0.88484664589234
14,thin_pipe,axial,embedded,90,2.4000000000000004,20,0.21164229621713687,0.6701647692700057,0.8825402200195382
15,thin_pipe,axial,embedded,90,2.5,20,0.21664918813655903,0.6757123640392623,0.8801310379659357
16,thin_pipe,axial,embedded,90,2.6,20,0.22151331858936307,0.6813272893736327,0.8776734609095406
17,thin_pipe,axial,embedded,90,2.7,20,0.22623777504447096,0.6870104997959561,0.8751233660770346
18,thin_pipe,axial,embedded,90,2.8,20,0.23082568508830945,0.6927629640220269,0.8725008427272781
19,thin_pipe,axial,embedded,90,2.9000000000000004,20,0.23528020423034496,0.6985856651603847,0.8698010078669869
20,thin_pipe,axial,embedded,90,3.0,20,0.23960450383340653,0.7044796009141663,0.8669986653849379
21,thin_pipe,axial,embedded,90,3.1,20,0.24380175962539857,0.7104457837850143,0.8641326088205993
22,thin_pipe,axial,embedded,90,3.2,20,0.24787514105941416,0.7164852412790133,0.8611416182747521
23,thin_pipe,axial,embedded,90,3.3000000000000003,20,0.2518278016612742,0.7225990161146413,0.8580706558603877
24,thin_pipe,axial,embedded,90,3.4000000000000004,20,0.2556628704182016,0.7287881664327075,0.854902736149056
25,thin_pipe,axial,embedded,90,3.5,20,0.2593834442065748,0.7350537660082485,0.851608958150416
26,thin_pipe,axial,embedded,90,3.6,20,0.26299258122137836,0.7413969044643584,0.8482286235343999
