,0,1
0,,"Loop Current Surface Current Speed Extremes (ft/s), associated profiles and normalization factors"
1,Water Depth,Normalization Return Period
2,(ft),Factor 1-year 10-year 25-year 50-year 100-year
3,0,1.00 0.71 2.81 3.21 3.48 3.72
4,82,0.98 0.70 2.76 3.16 3.42 3.66
5,164,0.96 0.68 2.68 3.07 3.33 3.56
6,246,0.81 0.58 2.27 2.60 2.82 3.02
7,328,0.62 0.44 1.74 2.00 2.16 2.32
8,410,0.50 0.36 1.41 1.61 1.75 1.87
9,492,0.46 0.33 1.28 1.47 1.59 1.71
10,574,0.37 0.26 1.04 1.18 1.28 1.37
11,656,0.30 0.22 0.85 0.98 1.06 1.13
12,738,0.25 0.18 0.69 0.79 0.86 0.92
13,820,0.20 0.14 0.56 0.64 0.69 0.74
14,902,0.16 0.11 0.44 0.50 0.54 0.58
15,984,0.09 0.06 0.25 0.28 0.31 0.33
16,1066,0.10 0.07 0.28 0.32 0.34 0.37
17,1148,0.12 0.08 0.32 0.37 0.40 0.43
18,1230,0.13 0.09 0.37 0.43 0.46 0.49
19,1312,0.14 0.10 0.40 0.46 0.49 0.53
20,1394,0.15 0.11 0.42 0.48 0.52 0.55
21,1476,0.14 0.10 0.40 0.46 0.50 0.54
22,1558,0.14 0.10 0.40 0.46 0.50 0.54
23,1640,0.14 0.10 0.38 0.43 0.47 0.50
24,1722,0.13 0.09 0.37 0.42 0.45 0.49
25,1804,0.13 0.09 0.35 0.41 0.44 0.47
26,1886,0.12 0.09 0.34 0.39 0.42 0.45
27,1969,0.12 0.08 0.33 0.37 0.41 0.43
28,2051,0.11 0.08 0.32 0.37 0.40 0.42
29,2133,0.11 0.08 0.30 0.35 0.38 0.40
30,2215,0.11 0.08 0.30 0.34 0.37 0.40
31,2297,0.10 0.07 0.29 0.34 0.36 0.39
32,2379,0.10 0.07 0.29 0.33 0.36 0.39
33,2461,0.10 0.07 0.29 0.33 0.36 0.38
34,2543,0.10 0.07 0.27 0.31 0.34 0.36
35,2625,0.09 0.07 0.26 0.30 0.32 0.35
36,2707,0.09 0.06 0.24 0.27 0.30 0.32
37,2789,0.08 0.06 0.22 0.25 0.27 0.29
38,2871,0.07 0.05 0.20 0.23 0.25 0.26
39,2953,0.06 0.05 0.18 0.21 0.22 0.24
40,3035,0.06 0.04 0.17 0.19 0.21 0.22
41,3117,0.06 0.04 0.16 0.18 0.20 0.21
42,3199,0.06 0.04 0.16 0.18 0.20 0.21
43,3281,0.06 0.04 0.16 0.19 0.20 0.22
