,L_r,K_r
0,0.0,1.0
1,0.01,0.9999750009371982
2,0.02,0.999900014980702
3,0.03,0.9997750757177152
4,0.04,0.9996002387653415
5,0.05,0.9993755812288136
6,0.06,0.9991012009441735
7,0.07,0.9987772155065665
8,0.08,0.99840376108563
9,0.09,0.9979809910297751
10,0.1,0.9975090742614812
11,0.11,0.9969881934660212
12,0.12,0.9964185430763469
13,0.13,0.9958003270571474
14,0.14,0.9951337564913885
15,0.15,0.9944190469729216
16,0.16,0.9936564158090156
17,0.17,0.9928460790369518
18,0.18,0.9919882482590732
19,0.19,0.9910831273009462
20,0.2,0.9901309086975643
21,0.21,0.9891317700127779
22,0.22,0.9880858699974037
23,0.23,0.9869933445917588
24,0.24,0.9858543027786306
25,0.25,0.9846688222930147
26,0.26,0.9834369451952677
27,0.27,0.982158673314669
28,0.28,0.9808339635707592
29,0.29,0.9794627231802394
30,0.3,0.9780448047576596
31,0.31,0.9765800013186252
32,0.32,0.9750680411948036
33,0.33,0.9735085828706241
34,0.34,0.9719012097522413
35,0.35,0.9702454248800982
36,0.36,0.9685406455972534
37,0.37,0.9667861981865763
38,0.38,0.964981312490948
39,0.39,0.9631251165317383
40,0.4,0.9612166311420908
41,0.41,0.9592547646329367
42,0.42,0.9572383075111571
43,0.43,0.9551659272709888
44,0.44,0.9530361632815543
45,0.45,0.9508474217953705
46,0.46,0.9485979711047975
47,0.47,0.9462859368756784
48,0.48,0.9439092976898743
49,0.49,0.9414658808310178
50,0.5,0.9389533583506083
51,0.51,0.936369243454535
52,0.52,0.9337108872532376
53,0.53,0.9309754759220206
54,0.54,0.9281600283214521
55,0.55,0.9252613941313701
56,0.56,0.9222762525557029
57,0.57,0.9192011116590906
58,0.58,0.9160323084001603
59,0.59,0.9127660094301865
60,0.6,0.9093982127297563
61,0.61,0.9059247501598884
62,0.62,0.9023412910077936
63,0.63,0.8986433466110105
64,0.64,0.8948262761469923
65,0.65,0.8908852936782125
66,0.66,0.8868154765454794
67,0.67,0.8826117752042253
68,0.68,0.8782690246000289
69,0.69,0.8737819571803724
70,0.7,0.8691452176394989
71,0.71,0.8643533794921032
72,0.72,0.8594009635692839
73,0.73,0.8542824585265408
74,0.74,0.8489923434484759
75,0.75,0.8435251126280287
76,0.76,0.8378753025893945
77,0.77,0.8320375214130289
78,0.78,0.8260064804081515
79,0.79,0.8197770281627313
80,0.8,0.8133441869828959
81,0.81,0.8067031917128575
82,0.82,0.7998495309026914
83,0.83,0.7927789902644209
84,0.84,0.7854876983268497
85,0.85,0.7779721741662975
86,0.86,0.7702293770538449
87,0.87,0.7622567578199463
88,0.88,0.7540523116943489
89,0.89,0.7456146323334254
90,0.9,0.7369429666984744
91,0.91,0.7280372703976652
92,0.92,0.7188982630515518
93,0.93,0.7095274831880183
94,0.94,0.6999273421178763
95,0.95,0.690101176187913
96,0.96,0.6800532967549893
97,0.97,0.6697890371738908
98,0.98,0.6593147960443161
99,0.99,0.6486380759200053
100,1.0,0.6377675166470957
101,1.0009375,0.6317862695248669
102,1.001875,0.6258666379702307
103,1.0028125,0.6200079304849915
104,1.00375,0.6142094639673984
105,1.0046875,0.6084705636024808
106,1.005625,0.6027905627539283
107,1.0065625,0.5971688028574682
108,1.0075,0.5916046333157364
109,1.0084375,0.5860974113946129
110,1.009375,0.5806465021210013
111,1.0103125,0.5752512781820245
112,1.01125,0.5699111198256344
113,1.0121875,0.5646254147625887
114,1.013125,0.5593935580697935
115,1.0140625,0.5542149520949858
116,1.015,0.5490890063627357
117,1.0159375,0.5440151374817433
118,1.016875,0.5389927690534304
119,1.0178125,0.5340213315817806
120,1.01875,0.5291002623844301
121,1.0196875,0.524229005504984
122,1.020625,0.519407011626539
123,1.0215625,0.5146337379863928
124,1.0225,0.5099086482919352
125,1.0234375,0.5052312126376844
126,1.024375,0.5006009074234667
127,1.0253125,0.49601721527371745
128,1.02625,0.4914796249578859
129,1.0271875,0.4869876313119323
130,1.028125,0.48254073516089124
131,1.0290625,0.47813844324250443
132,1.03,0.47378026813188434
133,1.0309375,0.46946572816721116
134,1.031875,0.46519434737643955
135,1.0328125,0.4609656554050057
136,1.03375,0.4567791874445112
137,1.0346875,0.4526344841623854
138,1.035625,0.448531091632494
139,1.0365625,0.4444685612666924
140,1.0375,0.4404464497473058
141,1.0384375,0.4364643189605245
142,1.039375,0.4325217359306946
143,1.0403125,0.4286182727555069
144,1.04125,0.4247535065420507
145,1.0421875,0.420927019343735
146,1.043125,0.4171383980980588
147,1.0440625,0.4133872345652204
148,1.045,0.40967312526754773
149,1.0459375,0.4059956714297516
150,1.046875,0.4023544789199729
151,1.0478125,0.3987491581916243
