,L_r,K_r
152,1.04875,0.3951793242260116
153,1.0496875,0.3916445964757224
154,1.050625,0.3881445988087744
155,1.0515625,0.38467895945350467
156,1.0525,0.3812473109442046
157,1.0534375,0.3778492900674715
158,1.054375,0.37448453780927954
159,1.0553125,0.3711526993027552
160,1.05625,0.36785342377664815
161,1.0571875,0.3645863645044842
162,1.058125,0.3613511787544006
163,1.0590625,0.35814752773964054
164,1.06,0.35497507656970695
165,1.0609375,0.35183349420216364
166,1.061875,0.3487224533950752
167,1.0628125,0.3456416306600716
168,1.06375,0.3425907062160413
169,1.0646875,0.339569363943428
170,1.065625,0.33657729133913433
171,1.0665625,0.33361417947201855
172,1.0675,0.33067972293897896
173,1.0684375,0.32777361982161196
174,1.069375,0.3248955716434471
175,1.0703125,0.3220452833277373
176,1.07125,0.31922246315580544
177,1.0721875,0.31642682272593764
178,1.073125,0.31365807691281455
179,1.0740625,0.3109159438274738
180,1.075,0.30820014477779384
181,1.0759375,0.3055104042294998
182,1.076875,0.30284644976767233
183,1.0778125,0.30020801205876163
184,1.07875,0.2975948248130959
185,1.0796875,0.29500662474787875
186,1.080625,0.2924431515506649
187,1.0815625,0.2899041478433163
188,1.0825,0.28738935914642133
189,1.0834375,0.2848985338441777
190,1.084375,0.2824314231497304
191,1.0853125,0.2799877810709599
192,1.08625,0.27756736437670904
193,1.0871875,0.27516993256345357
194,1.088125,0.27279524782239706
195,1.0890625,0.2704430750069932
196,1.09,0.2681131816008873
197,1.0909375,0.2658053376862707
198,1.091875,0.2635193159126401
199,1.0928125,0.26125489146596487
200,1.09375,0.0
