,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,initial_flaw_depth,initial_flaw_length,service_life
9,0.2772217407230272,0.835197898414853,0.7645863387024183,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",4.479748622236288,60,thin_pipe,external_surface,circumferential,90,0.5,60,5
10,0.3394300071875271,0.7926685262295824,0.8301515013193606,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",6.050065137115585,80,thin_pipe,external_surface,circumferential,90,0.5,80,5
11,0.4536967099078761,0.6579623088248514,0.9812667628295183,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",8.887095096918072,100,thin_pipe,external_surface,circumferential,90,0.5,100,5
12,0.8131673284549058,0.0,17.216101170769985,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",25.043749790217156,120,thin_pipe,external_surface,circumferential,90,25.0,120,5
13,1.109252512014042,0.0,15.049264399348623,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",26.247587028904267,150,thin_pipe,external_surface,circumferential,90,25.0,150,5
14,1.592638213143269,0.0,186.56596691661795,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",27.893961662222907,180,thin_pipe,external_surface,circumferential,90,25.0,180,5
15,,,,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",,200,thin_pipe,external_surface,circumferential,90,1.4,200,5
0,0.2775183660801695,0.33980959909726516,1.0646129568213725,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",20.175469978922983,5,thin_pipe,embedded,circumferential,90,2.6,5,5
1,0.2623318067582179,0.2872781218738856,1.0825418676263279,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",11.99642534272672,10,thin_pipe,embedded,circumferential,90,1.2000000000000002,10,5
2,0.3031719788911346,0.697516690572969,0.9424532982264796,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",7.432511241782982,15,thin_pipe,embedded,circumferential,90,0.9,15,5
3,0.30024948178471184,0.7918097181139802,0.8313293558380871,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",4.907177503666109,20,thin_pipe,embedded,circumferential,90,0.8,20,5
4,0.3435701745298341,0.6494597834550586,0.9892303745668276,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",6.017838266825925,25,thin_pipe,embedded,circumferential,90,0.8,25,5
5,0.250794828554226,0.8465969654556418,0.7443813368623022,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",2.971970659779282,30,thin_pipe,embedded,circumferential,90,0.7,30,5
6,0.27409904807288216,0.8172187142319267,0.7939769580179035,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",3.339638928178059,35,thin_pipe,embedded,circumferential,90,0.7,35,5
7,0.3013614285931391,0.770123913612776,0.8601322820493176,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",3.8060140559356324,40,thin_pipe,embedded,circumferential,90,0.7,40,5
8,0.19746689758898595,0.8711214464104082,0.6957378913491072,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.8974663860102994,50,thin_pipe,embedded,circumferential,90,0.6,50,5
9,0.22724604346397984,0.8474037475425497,0.7429056682589381,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",2.276500543988268,60,thin_pipe,embedded,circumferential,90,0.6,60,5
10,0.32889732929062904,0.6827059612829486,0.9573599757583999,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",3.736009770550161,80,thin_pipe,embedded,circumferential,90,0.6,80,5
11,0.1953965148859343,0.8670611263792165,0.7043492521996283,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",1.659470726823659,100,thin_pipe,embedded,circumferential,90,0.5,100,5
12,0.28382364403973176,0.7849383267848388,0.840730982337725,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",2.6883368351188355,120,thin_pipe,embedded,circumferential,90,0.5,120,5
