Reference Code,Nominal Size (in),Outer Diameter (m),Wall Thickness (mm),Inside Diameter (m)
API-SPEC-5L,"40""",1.0160,15.9,0.9842
API-SPEC-5L,"40""",1.0160,17.5,0.981
API-SPEC-5L,"40""",1.0160,19.1,0.9778
API-SPEC-5L,"40""",1.0160,20.6,0.9748
API-SPEC-5L,"40""",1.0160,22.2,0.9716
API-SPEC-5L,"40""",1.0160,23.8,0.9684
API-SPEC-5L,"40""",1.0160,25.4,0.9652
API-SPEC-5L,"40""",1.0160,27.0,0.962
API-SPEC-5L,"40""",1.0160,28.6,0.9588
API-SPEC-5L,"40""",1.0160,30.2,0.9556
API-SPEC-5L,"40""",1.0160,31.8,0.9524
API-SPEC-5L,"42""",1.0668,8.7,1.049402134
API-SPEC-5L,"42""",1.0668,9.5,1.047802134
API-SPEC-5L,"42""",1.0668,10.3,1.046202134
API-SPEC-5L,"42""",1.0668,11.1,1.044602134
API-SPEC-5L,"42""",1.0668,11.9,1.043002134
API-SPEC-5L,"42""",1.0668,12.7,1.041402134
API-SPEC-5L,"42""",1.0668,14.3,1.038202134
API-SPEC-5L,"42""",1.0668,15.9,1.035002134
API-SPEC-5L,"42""",1.0668,17.5,1.031802134
API-SPEC-5L,"42""",1.0668,19.1,1.028602134
API-SPEC-5L,"42""",1.0668,20.6,1.025602134
API-SPEC-5L,"42""",1.0668,22.2,1.022402134
API-SPEC-5L,"42""",1.0668,23.8,1.019202134
API-SPEC-5L,"42""",1.0668,25.4,1.016002134
API-SPEC-5L,"42""",1.0668,27.0,1.012802134
API-SPEC-5L,"42""",1.0668,28.6,1.009602134
API-SPEC-5L,"42""",1.0668,30.2,1.006402134
API-SPEC-5L,"42""",1.0668,31.8,1.003202134
API-SPEC-5L,"44""",1.1176,8.7,1.100202235
API-SPEC-5L,"44""",1.1176,9.5,1.098602235
API-SPEC-5L,"44""",1.1176,10.3,1.097002235
API-SPEC-5L,"44""",1.1176,11.1,1.095402235
API-SPEC-5L,"44""",1.1176,11.9,1.093802235
API-SPEC-5L,"44""",1.1176,12.7,1.092202235
API-SPEC-5L,"44""",1.1176,14.3,1.089002235
API-SPEC-5L,"44""",1.1176,15.9,1.085802235
API-SPEC-5L,"44""",1.1176,17.5,1.082602235
API-SPEC-5L,"44""",1.1176,19.1,1.079402235
API-SPEC-5L,"44""",1.1176,20.6,1.076402235
API-SPEC-5L,"44""",1.1176,22.2,1.073202235
API-SPEC-5L,"44""",1.1176,23.8,1.070002235
API-SPEC-5L,"44""",1.1176,25.4,1.066802235
API-SPEC-5L,"44""",1.1176,27.0,1.063602235
API-SPEC-5L,"44""",1.1176,28.6,1.060402235
API-SPEC-5L,"44""",1.1176,30.2,1.057202235
API-SPEC-5L,"44""",1.1176,31.8,1.054002235
API-SPEC-5L,"46""",1.1684,8.7,1.151002337
API-SPEC-5L,"46""",1.1684,9.5,1.149402337
API-SPEC-5L,"46""",1.1684,10.3,1.147802337
API-SPEC-5L,"46""",1.1684,11.1,1.146202337
API-SPEC-5L,"46""",1.1684,11.9,1.144602337
API-SPEC-5L,"46""",1.1684,12.7,1.143002337
API-SPEC-5L,"46""",1.1684,14.3,1.139802337
API-SPEC-5L,"46""",1.1684,15.9,1.136602337
API-SPEC-5L,"46""",1.1684,17.5,1.133402337
