Reference Code,Nominal Size (in),Outer Diameter (m),Wall Thickness (mm),Inside Diameter (m)
API-SPEC-5L,"6 5/8""",0.1683,4.8,0.1587
API-SPEC-5L,"6 5/8""",0.1683,5.2,0.1579
API-SPEC-5L,"6 5/8""",0.1683,5.6,0.1571
API-SPEC-5L,"6 5/8""",0.1683,6.4,0.1555
API-SPEC-5L,"6 5/8""",0.1683,7.1,0.1541
API-SPEC-5L,"6 5/8""",0.1683,7.9,0.1525
API-SPEC-5L,"6 5/8""",0.1683,8.7,0.1509
API-SPEC-5L,"6 5/8""",0.1683,9.5,0.1493
API-SPEC-5L,"6 5/8""",0.1683,11.0,0.1463
API-SPEC-5L,"6 5/8""",0.1683,12.7,0.1429
API-SPEC-5L,"6 5/8""",0.1683,14.3,0.1397
API-SPEC-5L,"6 5/8""",0.1683,15.9,0.1365
API-SPEC-5L,"6 5/8""",0.1683,18.3,0.1317
API-SPEC-5L,"6 5/8""",0.1683,19.1,0.1301
API-SPEC-5L,"6 5/8""",0.1683,22.2,0.1239
API-SPEC-5L,"8 5/8""",0.2191,3.2,0.2127
API-SPEC-5L,"8 5/8""",0.2191,4.0,0.2111
API-SPEC-5L,"8 5/8""",0.2191,4.8,0.2095
API-SPEC-5L,"8 5/8""",0.2191,5.2,0.2087
API-SPEC-5L,"8 5/8""",0.2191,5.6,0.2079
API-SPEC-5L,"8 5/8""",0.2191,6.4,0.2063
API-SPEC-5L,"8 5/8""",0.2191,7.0,0.2051
API-SPEC-5L,"8 5/8""",0.2191,7.9,0.2033
API-SPEC-5L,"8 5/8""",0.2191,8.2,0.2027
API-SPEC-5L,"8 5/8""",0.2191,8.7,0.2017
API-SPEC-5L,"8 5/8""",0.2191,9.5,0.2001
API-SPEC-5L,"8 5/8""",0.2191,11.1,0.1969
API-SPEC-5L,"8 5/8""",0.2191,12.7,0.1937
API-SPEC-5L,"8 5/8""",0.2191,14.3,0.1905
API-SPEC-5L,"8 5/8""",0.2191,15.9,0.1873
API-SPEC-5L,"8 5/8""",0.2191,18.3,0.1825
API-SPEC-5L,"8 5/8""",0.2191,19.1,0.1809
API-SPEC-5L,"8 5/8""",0.2191,20.6,0.1779
API-SPEC-5L,"8 5/8""",0.2191,22.2,0.1747
API-SPEC-5L,"8 5/8""",0.2191,25.4,0.1683
API-SPEC-5L,"10 3/4""",0.2731,4.0,0.2651
API-SPEC-5L,"10 3/4""",0.2731,4.8,0.2635
API-SPEC-5L,"10 3/4""",0.2731,5.2,0.2627
API-SPEC-5L,"10 3/4""",0.2731,5.6,0.2619
API-SPEC-5L,"10 3/4""",0.2731,6.4,0.2603
API-SPEC-5L,"10 3/4""",0.2731,7.1,0.2589
API-SPEC-5L,"10 3/4""",0.2731,7.8,0.2575
API-SPEC-5L,"10 3/4""",0.2731,8.7,0.2557
API-SPEC-5L,"10 3/4""",0.2731,9.3,0.2545
API-SPEC-5L,"10 3/4""",0.2731,11.1,0.2509
API-SPEC-5L,"10 3/4""",0.2731,12.7,0.2477
API-SPEC-5L,"10 3/4""",0.2731,14.3,0.2445
API-SPEC-5L,"10 3/4""",0.2731,15.9,0.2413
API-SPEC-5L,"10 3/4""",0.2731,18.3,0.2365
API-SPEC-5L,"10 3/4""",0.2731,20.6,0.2319
API-SPEC-5L,"10 3/4""",0.2731,22.2,0.2287
API-SPEC-5L,"10 3/4""",0.2731,23.8,0.2255
