,K_r,K_r_allowable,L_r,component,final_flaw_depth,final_flaw_length,flaw_geometry,flaw_location,flaw_orientation,flaw_theta,initial_flaw_depth,initial_flaw_length,service_life
0,0.5890873081241275,0.6805633882251229,0.9594923391810791,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",39.852591825105876,5,thin_pipe,internal_surface,axial,90,2.7,5,5
1,0.5012452310543875,0.601506338575434,1.0058391607236012,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",28.869254952283406,10,thin_pipe,internal_surface,axial,90,2.6,10,5
2,0.3753341180641146,0.6799111909208049,0.9601384472333943,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",16.15410325000106,15,thin_pipe,internal_surface,axial,90,2.4000000000000004,15,5
3,0.37490018410779735,0.45312683181074404,1.0345761347492408,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",16.15410325000106,20,thin_pipe,internal_surface,axial,90,2.4000000000000004,20,5
4,0.32857083286119326,0.6628730761250194,0.976602827797561,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",12.38004536136694,25,thin_pipe,internal_surface,axial,90,2.3,25,5
5,0.32833343108276336,0.53649428311349,1.0173461576042244,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",12.38004536136694,30,thin_pipe,internal_surface,axial,90,2.3,30,5
6,0.3281327687584457,0.36743556788598747,1.0563699059658427,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",12.38004536136694,35,thin_pipe,internal_surface,axial,90,2.3,35,5
7,0.29018423335231774,0.6600018376653861,0.9793440654911695,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",9.652979243212949,40,thin_pipe,internal_surface,axial,90,2.2,40,5
8,0.2899373516936924,0.5149686029001705,1.0214967304924598,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",9.652979243212949,50,thin_pipe,internal_surface,axial,90,2.2,50,5
9,0.28976168531179736,0.3592757020689911,1.0587323568511697,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",9.652979243212949,60,thin_pipe,internal_surface,axial,90,2.2,60,5
10,0.2581710899851629,0.5894450646746957,1.007867625570564,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",7.647004245063753,80,thin_pipe,internal_surface,axial,90,2.1,80,5
11,0.2579808848978803,0.4329842738931448,1.0392650138978643,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",7.647004245063753,100,thin_pipe,internal_surface,axial,90,2.1,100,5
12,0.25791390530990305,0.34300182746089003,1.063623669055358,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",7.647004245063753,120,thin_pipe,internal_surface,axial,90,2.1,120,5
13,0.25791390530990305,0.26565984146136506,1.0909971681590798,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",7.647004245063753,150,thin_pipe,internal_surface,axial,90,2.1,150,5
14,0.23211228421672575,0.5509386903157256,1.0146617056058518,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",6.181511539713016,180,thin_pipe,internal_surface,axial,90,2.0,180,5
15,0.23206725648170257,0.5116752072319912,1.022149498927344,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",6.181511539713016,200,thin_pipe,internal_surface,axial,90,2.0,200,5
0,0.6192399223680106,0.6603906097923125,0.9789728957595231,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",42.022321486579756,5,thin_pipe,external_surface,axial,90,2.5,5,5
1,0.5144878845623652,0.54870978953219,1.015070067986969,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",29.01642020366335,10,thin_pipe,external_surface,axial,90,2.4000000000000004,10,5
2,0.3710368992072445,0.7041287675560871,0.935623579479183,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",15.044800701343991,15,thin_pipe,external_surface,axial,90,2.2,15,5
3,0.37068817434387213,0.6395299710279873,0.9983786902433955,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",15.044800701343991,20,thin_pipe,external_surface,axial,90,2.2,20,5
4,0.31983290928551256,0.6989536040958612,0.94099096435879,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",11.172968505943858,25,thin_pipe,external_surface,axial,90,2.1,25,5
5,0.3196540219765777,0.6659300840351371,0.973684231717616,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",11.172968505943858,30,thin_pipe,external_surface,axial,90,2.1,30,5
6,0.3194751453723245,0.6079335577381921,1.004776134317352,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",11.172968505943858,35,thin_pipe,external_surface,axial,90,2.1,35,5
7,0.31929741385348887,0.45428521264954613,1.034314117914149,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",11.172968505943858,40,thin_pipe,external_surface,axial,90,2.1,40,5
8,0.27855922333759775,0.6705494029034059,0.9692592103468278,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",8.478790732260483,50,thin_pipe,external_surface,axial,90,2.0,50,5
9,0.2783931933259208,0.6395518056617799,0.9983586042172358,"75ft Buoyancy Jt. 2500 ft rating, OuterDia, max_dam, @avg elev 380.4",8.478790732260483,60,thin_pipe,external_surface,axial,90,2.0,60,5
