,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,flaw_depth,flaw_length,K_r,L_r,K_r_allowable
0,thin_pipe,axial,embedded,90,1.0,5,0.11435448471232473,0.5708410160366258,0.9189346102233233
1,thin_pipe,axial,embedded,90,1.1,5,0.11952067376322374,0.5724658667936032,0.9184197269859248
2,thin_pipe,axial,embedded,90,1.2,5,0.1242978579444899,0.5740977299363177,0.9179026216614485
3,thin_pipe,axial,embedded,90,1.3,5,0.12871297029655743,0.5757366417252473,0.9173832827596626
4,thin_pipe,axial,embedded,90,1.4,5,0.1327901485767303,0.5773826386230018,0.9168616987262833
5,thin_pipe,axial,embedded,90,1.5,5,0.1365515378434582,0.5790357572954417,0.9163378579426207
6,thin_pipe,axial,embedded,90,1.6,5,0.140017750381942,0.5806960346128006,0.9158049626862745
7,thin_pipe,axial,embedded,90,1.7000000000000002,5,0.14320812845460107,0.5823635076508169,0.9152603161396214
8,thin_pipe,axial,embedded,90,1.8,5,0.14614089497416918,0.5840382136918661,0.9147133070779326
9,thin_pipe,axial,embedded,90,1.9,5,0.1488332420838908,0.5857201902261036,0.9141639232558026
10,thin_pipe,axial,embedded,90,2.0,5,0.15130138685680541,0.5874094749526089,0.9136121523595849
11,thin_pipe,axial,embedded,90,2.1,5,0.1535606109238469,0.5891061057805373,0.9130579820070162
12,thin_pipe,axial,embedded,90,2.2,5,0.15562529342158812,0.5908101208302778,0.9124931772042705
13,thin_pipe,axial,embedded,90,2.3,5,0.15750894223680226,0.592521558434614,0.911916799812583
14,thin_pipe,axial,embedded,90,2.4000000000000004,5,0.15922422593585409,0.5942404571398928,0.9113379096737818
15,thin_pipe,axial,embedded,90,2.5,5,0.16078300728658845,0.5959668557071984,0.9107564937339219
16,thin_pipe,axial,embedded,90,2.6,5,0.16219637847069995,0.5977007931135306,0.9101725388663421
17,thin_pipe,axial,embedded,90,2.7,5,0.16347469767591136,0.5994423085529893,0.9095860318712664
18,thin_pipe,axial,embedded,90,2.8,5,0.16462762658360566,0.6011914414379653,0.9089843700058601
19,thin_pipe,axial,embedded,90,2.9000000000000004,5,0.16566416822698182,0.6029482314003367,0.9083741555881184
20,thin_pipe,axial,embedded,90,3.0,5,0.16659270472538248,0.6047127182926686,0.9077612676705646
21,thin_pipe,axial,embedded,90,3.1,5,0.16742103446509843,0.6064849421894221,0.9071456923334849
22,thin_pipe,axial,embedded,90,3.2,5,0.1681564083740424,0.6082649433881654,0.9065274155796693
23,thin_pipe,axial,embedded,90,3.3000000000000003,5,0.16880556501506017,0.6100527624107933,0.905905842965504
24,thin_pipe,axial,embedded,90,3.4000000000000004,5,0.16937476429399756,0.611848440004751,0.9052623692346761
25,thin_pipe,axial,embedded,90,3.5,5,0.1698698196410789,0.6136520171442624,0.9046160647339669
26,thin_pipe,axial,embedded,90,3.6,5,0.17029612857684398,0.6154635350315677,0.9039669146987221
