,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,flaw_depth,flaw_length,K_r,L_r,K_r_allowable
0,thin_pipe,axial,embedded,90,1.0,60,0.13230983255142112,0.6278397540671541,0.8994421935453146
1,thin_pipe,axial,embedded,90,1.1,60,0.1405624941477239,0.6359040205708103,0.8963897403570309
2,thin_pipe,axial,embedded,90,1.2,60,0.14866131675825012,0.6441225344273753,0.8932015925564696
3,thin_pipe,axial,embedded,90,1.3,60,0.15661965853335924,0.6524987785794372,0.8898683364908625
4,thin_pipe,axial,embedded,90,1.4,60,0.16444671542769632,0.6610363192927626,0.8863798388653841
5,thin_pipe,axial,embedded,90,1.5,60,0.17214892956789887,0.6697388080751712,0.8827215724886981
6,thin_pipe,axial,embedded,90,1.6,60,0.17973091825493578,0.6786099836302683,0.8788726740429784
7,thin_pipe,axial,embedded,90,1.7000000000000002,60,0.1871960928443738,0.6876536738459427,0.8748347695445483
8,thin_pipe,axial,embedded,90,1.8,60,0.19454707363627563,0.6968737978174435,0.8705947561667614
9,thin_pipe,axial,embedded,90,1.9,60,0.20178596885528144,0.7062743679047859,0.866138642091804
10,thin_pipe,axial,embedded,90,2.0,60,0.2089145621902518,0.7158594918241298,0.8614515154311582
11,thin_pipe,axial,embedded,90,2.1,60,0.21593443836780585,0.7256333747726844,0.8565175178511192
12,thin_pipe,axial,embedded,90,2.2,60,0.2228470665284425,0.7356003215865796,0.8513198239598231
13,thin_pipe,axial,embedded,90,2.3,60,0.22965385479228675,0.7457647389310263,0.8458406276129219
14,thin_pipe,axial,embedded,90,2.4000000000000004,60,0.23635618514987458,0.756131137521958,0.8400611363960482
15,thin_pipe,axial,embedded,90,2.5,60,0.2429554349492862,0.7667041343781996,0.8339615756417066
16,thin_pipe,axial,embedded,90,2.6,60,0.2494529893034456,0.7774884551030625,0.8275212034340536
17,thin_pipe,axial,embedded,90,2.7,60,0.2558502474067261,0.7884889361940844,0.8207183381446047
18,thin_pipe,axial,embedded,90,2.8,60,0.2621486248293608,0.7997105273794609,0.8135304001222798
19,thin_pipe,axial,embedded,90,2.9000000000000004,60,0.26829059006673833,0.8111582939795037,0.80590933630746
20,thin_pipe,axial,embedded,90,3.0,60,0.2743322641385194,0.8228374192912551,0.7978433220620282
21,thin_pipe,axial,embedded,90,3.1,60,0.2802765217131513,0.83475320699414,0.7893132882810229
22,thin_pipe,axial,embedded,90,3.2,60,0.28612473062349625,0.8469110835742943,0.7802936567690292
23,thin_pipe,axial,embedded,90,3.3000000000000003,60,0.29187825857210714,0.859316600764922,0.7707585192162463
24,thin_pipe,axial,embedded,90,3.4000000000000004,60,0.2975384695563532,0.8719754379997374,0.760636020355616
25,thin_pipe,axial,embedded,90,3.5,60,0.3031067204488703,0.8848934048762307,0.7499234135614675
26,thin_pipe,axial,embedded,90,3.6,60,0.3085843578074331,0.8980764436251335,0.7386110104697564
