,io,dominant_mode,min_mode,max_mode
30,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp031_hm.out,9.0,1.0,13.0
31,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp032_hm.out,5.0,1.0,8.0
32,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp033_hm.out,3.0,1.0,10.0
33,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp034_hm.out,3.0,1.0,6.0
34,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp035_hm.out,4.0,1.0,8.0
35,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp036_hm.out,7.0,1.0,10.0
36,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp037_hm.out,4.0,1.0,9.0
37,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp038_hm.out,4.0,1.0,6.0
38,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp039_hm.out,3.0,1.0,10.0
39,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp040_hm.out,4.0,1.0,11.0
40,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp041_hm.out,4.0,1.0,6.0
41,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp042_hm.out,4.0,1.0,6.0
42,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp043_hm.out,6.0,1.0,7.0
43,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp044_hm.out,4.0,1.0,6.0
44,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp045_hm.out,4.0,1.0,6.0
45,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp046_hm.out,4.0,1.0,11.0
46,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp047_hm.out,11.0,1.0,14.0
47,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp048_hm.out,4.0,1.0,6.0
48,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp049_hm.out,3.0,1.0,7.0
49,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp050_hm.out,4.0,1.0,6.0
50,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp051_hm.out,3.0,1.0,9.0
51,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp052_hm.out,4.0,1.0,6.0
52,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp053_hm.out,4.0,1.0,6.0
53,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp054_hm.out,3.0,1.0,11.0
54,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp055_hm.out,4.0,1.0,6.0
55,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp056_hm.out,3.0,1.0,7.0
56,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp057_hm.out,5.0,1.0,7.0
57,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp058_hm.out,5.0,1.0,7.0
58,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp059_hm.out,11.0,1.0,14.0
59,C:\Users\achantv\Desktop\S7\HM\D6\LT\A6_L\lid06_cp060_hm.out,5.0,1.0,7.0
