,0,1
0,,"Loop Current Surface Current Speed Extremes (ft/s), associated profiles and normalization factors"
1,Water Depth,Normalization Return Period
2,(ft),Factor 1-year 10-year 25-year 50-year 100-year
3,0,1.00 0.91 2.05 2.50 2.84 3.18
4,82,1.00 0.91 2.04 2.49 2.84 3.18
5,164,1.01 0.92 2.07 2.52 2.87 3.21
6,246,0.89 0.82 1.83 2.23 2.54 2.84
7,328,0.83 0.76 1.70 2.08 2.36 2.65
8,410,0.79 0.72 1.61 1.97 2.24 2.51
9,492,0.64 0.58 1.30 1.59 1.81 2.02
10,574,0.57 0.52 1.17 1.43 1.63 1.82
11,656,0.53 0.48 1.08 1.32 1.50 1.68
12,738,0.48 0.44 0.98 1.20 1.36 1.53
13,820,0.49 0.45 1.01 1.23 1.40 1.57
14,902,0.53 0.49 1.09 1.32 1.50 1.69
15,984,0.55 0.50 1.12 1.37 1.55 1.74
16,1066,0.48 0.44 0.98 1.20 1.36 1.53
17,1148,0.40 0.37 0.82 1.00 1.14 1.27
18,1230,0.34 0.31 0.70 0.85 0.96 1.08
19,1312,0.30 0.27 0.61 0.75 0.85 0.95
20,1394,0.28 0.26 0.58 0.71 0.81 0.90
21,1476,0.27 0.25 0.55 0.68 0.77 0.86
22,1558,0.27 0.24 0.55 0.67 0.76 0.85
23,1640,0.25 0.23 0.51 0.62 0.70 0.79
24,1722,0.23 0.21 0.47 0.57 0.65 0.73
25,1804,0.22 0.20 0.45 0.54 0.62 0.69
26,1886,0.21 0.19 0.42 0.52 0.59 0.66
27,1969,0.20 0.18 0.40 0.49 0.55 0.62
28,2051,0.19 0.17 0.39 0.47 0.54 0.60
29,2133,0.18 0.16 0.37 0.45 0.51 0.57
30,2215,0.17 0.16 0.35 0.43 0.49 0.55
31,2297,0.17 0.15 0.34 0.42 0.47 0.53
32,2379,0.16 0.15 0.33 0.40 0.46 0.51
33,2461,0.16 0.14 0.32 0.39 0.44 0.49
34,2543,0.15 0.13 0.30 0.36 0.41 0.46
35,2625,0.13 0.12 0.28 0.34 0.38 0.43
36,2707,0.12 0.11 0.25 0.30 0.34 0.38
37,2789,0.11 0.10 0.22 0.27 0.31 0.34
38,2871,0.10 0.09 0.20 0.24 0.28 0.31
39,2953,0.09 0.08 0.18 0.22 0.25 0.28
40,3035,0.09 0.08 0.18 0.21 0.24 0.27
41,3117,0.09 0.08 0.18 0.21 0.24 0.27
42,3199,0.09 0.08 0.18 0.22 0.25 0.28
43,3281,0.09 0.08 0.17 0.21 0.24 0.27
