,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,flaw_depth,flaw_length,K_r,L_r,K_r_allowable
0,thin_pipe,axial,external_surface,90,14.8,1,0.36885844607735147,0.758918555046985,0.8384862984445719
1,thin_pipe,axial,external_surface,90,14.8,5,0.3688730885838288,0.8081620125446518,0.8079237983125933
2,thin_pipe,axial,external_surface,90,14.8,10,0.36860225254906176,0.8698777822406841,0.7623541973858109
3,thin_pipe,axial,external_surface,90,14.8,15,0.3682973306287507,0.931352308689205,0.7082292477693436
4,thin_pipe,axial,external_surface,90,14.8,20,0.36796190860051187,0.9922192698895369,0.6462256054323259
5,thin_pipe,axial,external_surface,90,14.8,25,0.36761347931706645,1.0521343544690254,0.38258572901492593
6,thin_pipe,axial,external_surface,90,13.600000000000001,30,0.3523952321198755,1.0597410678554677,0.3558512894602189
7,thin_pipe,axial,external_surface,90,12.600000000000001,35,0.3391921886264074,1.0616011020933613,0.3496313681305726
8,thin_pipe,axial,external_surface,90,11.9,40,0.32963555583131243,1.0665484602098965,0.3336585543719309
9,thin_pipe,axial,external_surface,90,10.8,50,0.3140309459161706,1.0707396511713871,0.32075912765514436
10,thin_pipe,axial,external_surface,90,10.0,60,0.3021764185976232,1.0721342607044226,0.31658558318158986
11,thin_pipe,axial,external_surface,90,9.1,80,0.28825793144404926,1.0819485122839445,0.28886869255955494
12,thin_pipe,axial,external_surface,90,8.4,100,0.2769492622908539,1.079733563267262,0.29488067066680945
13,thin_pipe,axial,external_surface,90,8.0,120,0.27027480527268677,1.0823882295531337,0.28768917680660927
14,thin_pipe,axial,external_surface,90,7.6000000000000005,150,0.2634312943576168,1.0849845995074194,0.2808424706083672
15,thin_pipe,axial,external_surface,90,7.4,180,0.2599419840806783,1.0911086530880858,0.2653879940212163
16,thin_pipe,axial,external_surface,90,7.2,200,0.2564051936460529,1.0871453175020596,0.27527780420348014
