,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,flaw_depth,flaw_length,K_r,L_r,K_r_allowable
0,thin_pipe,circumferential,external_surface,90,0.5,100,0.07079792030466489,0.6780592476931973,0.8791118449253252
1,thin_pipe,circumferential,external_surface,90,0.6,100,0.07747458959896814,0.6803980091020662,0.8780904352325681
2,thin_pipe,circumferential,external_surface,90,0.7,100,0.08361460907513346,0.6827574461900567,0.8770317399039429
3,thin_pipe,circumferential,external_surface,90,0.8,100,0.08932976573852655,0.6851378217256755,0.8759636493527008
4,thin_pipe,circumferential,external_surface,90,0.9,100,0.09469770716997258,0.6875394027327449,0.874886043763452
5,thin_pipe,circumferential,external_surface,90,1.0,100,0.09977496815652441,0.6899624605739992,0.8737988013739085
6,thin_pipe,circumferential,external_surface,90,1.1,100,0.10460422794739098,0.6924072710366139,0.8726657683002657
7,thin_pipe,circumferential,external_surface,90,1.2000000000000002,100,0.1092186441217276,0.6948741144197186,0.8715219572747073
8,thin_pipe,circumferential,external_surface,90,1.3,100,0.11364458520652705,0.6973632756239494,0.8703677980567808
9,thin_pipe,circumferential,external_surface,90,1.4,100,0.11790343074448748,0.6998750442430929,0.86920315636939
10,thin_pipe,circumferential,external_surface,90,1.5,100,0.12201280058442482,0.7024097146578789,0.8679905213773026
11,thin_pipe,circumferential,external_surface,90,1.6,100,0.1259874201491535,0.7049675861319811,0.8667648307667288
12,thin_pipe,circumferential,external_surface,90,1.7000000000000002,100,0.12983974535515186,0.7075489629102822,0.8655278767948223
13,thin_pipe,circumferential,external_surface,90,1.8,100,0.13358042407059678,0.7101541543194709,0.8642770358614713
14,thin_pipe,circumferential,external_surface,90,1.9000000000000001,100,0.13721864351809787,0.712783474871028,0.8629748869648985
15,thin_pipe,circumferential,external_surface,90,2.0,100,0.1407623962939787,0.7154372443666722,0.8616606299343265
16,thin_pipe,circumferential,external_surface,90,2.1,100,0.1442186871596121,0.7181157880063299,0.8603341037172257
17,thin_pipe,circumferential,external_surface,90,2.2,100,0.14759369596645872,0.7208194364987015,0.8589815345842027
18,thin_pipe,circumferential,external_surface,90,2.3,100,0.15089290757868715,0.723548526174493,0.8575846486574391
19,thin_pipe,circumferential,external_surface,90,2.4000000000000004,100,0.15412121661383937,0.7263033991023906,0.856174565560083
20,thin_pipe,circumferential,external_surface,90,2.5,100,0.1572830127218909,0.7290844032078521,0.8547511072063136
21,thin_pipe,circumferential,external_surface,90,2.6,100,0.16038225064798045,0.7318918923947944,0.853281625678163
22,thin_pipe,circumferential,external_surface,90,2.7,100,0.16342250827122243,0.7347262266702608,0.8517822302294709
23,thin_pipe,circumferential,external_surface,90,2.8000000000000003,100,0.16640703504942214,0.7375877722721497,0.8502684396759586
24,thin_pipe,circumferential,external_surface,90,2.9000000000000004,100,0.16933879273969207,0.7404769018000911,0.8487316102264973
25,thin_pipe,circumferential,external_surface,90,3.0,100,0.17222048984889426,0.743393994349565,0.8471367683972393
26,thin_pipe,circumferential,external_surface,90,3.1,100,0.17505461095506167,0.7463394356493473,0.8455264276518405
27,thin_pipe,circumferential,external_surface,90,3.2,100,0.1778434418033334,0.749313618202385,0.8439003733998801
28,thin_pipe,circumferential,external_surface,90,3.3000000000000003,100,0.18058909089764796,0.7523169414301939,0.842216084732905
29,thin_pipe,circumferential,external_surface,90,3.4000000000000004,100,0.18329350816831141,0.7553498118208862,0.840502570574984
30,thin_pipe,circumferential,external_surface,90,3.5,100,0.18595850118536178,0.758412643080928,0.8387721290950213
31,thin_pipe,circumferential,external_surface,90,3.6,100,0.1885857493009301,0.7615058562907379,0.8369962166385564
32,thin_pipe,circumferential,external_surface,90,3.7,100,0.1911768160350288,0.7646298800642382,0.8351724799206105
33,thin_pipe,circumferential,external_surface,90,3.8000000000000003,100,0.19373315996429336,0.7677851507124763,0.8333305019609482
34,thin_pipe,circumferential,external_surface,90,3.9000000000000004,100,0.19625614432906777,0.7709721124114334,0.8314512364315584
35,thin_pipe,circumferential,external_surface,90,4.0,100,0.19874704553853198,0.7741912173741436,0.8295097810286474
36,thin_pipe,circumferential,external_surface,90,4.1,100,0.20120706072453076,0.777442926027259,0.8275486622063621
37,thin_pipe,circumferential,external_surface,90,4.2,100,0.2036373144710092,0.7807277071921795,0.8255531586879183
38,thin_pipe,circumferential,external_surface,90,4.300000000000001,100,0.20603886482642542,0.7840460382708994,0.8234860201889805
39,thin_pipe,circumferential,external_surface,90,4.4,100,0.20841270869036532,0.7873984054366979,0.8213976790721349
40,thin_pipe,circumferential,external_surface,90,4.5,100,0.2107597866521767,0.7907853038298326,0.8192718546812084
41,thin_pipe,circumferential,external_surface,90,4.6000000000000005,100,0.2130809873482573,0.7942072377583761,0.8170705789321874
42,thin_pipe,circumferential,external_surface,90,4.7,100,0.21537715139526084,0.7976647209043599,0.8148464349361801
43,thin_pipe,circumferential,external_surface,90,4.8,100,0.21764454827983098,0.8011582765353835,0.8125749760836081
44,thin_pipe,circumferential,external_surface,90,4.9,100,0.21987913240419257,0.8046884377218578,0.8102305977094232
45,thin_pipe,circumferential,external_surface,90,5.0,100,0.22209071378932546,0.8082557475600554,0.8078615489332001
46,thin_pipe,circumferential,external_surface,90,5.1000000000000005,100,0.22427996861948787,0.8118607594011473,0.8054278903343784
47,thin_pipe,circumferential,external_surface,90,5.2,100,0.22644753976226173,0.815504037086412,0.8029309113851733
48,thin_pipe,circumferential,external_surface,90,5.300000000000001,100,0.22859403899014366,0.8191861551888077,0.800407312531494
49,thin_pipe,circumferential,external_surface,90,5.4,100,0.23072004901397253,0.8229076992611105,0.7977936303237363
50,thin_pipe,circumferential,external_surface,90,5.5,100,0.23282612534726171,0.8266692660908196,0.7951339992104335
51,thin_pipe,circumferential,external_surface,90,5.6000000000000005,100,0.23491279801825818,0.8304714639620456,0.792435232125889
