,flaw_geometry,flaw_orientation,flaw_location,flaw_theta,flaw_depth,flaw_length,K_r,L_r,K_r_allowable
0,thin_pipe,circumferential,external_surface,90,0.5,200,0.07080117177306354,0.6816221773360804,0.8775411426926657
1,thin_pipe,circumferential,external_surface,90,0.6,200,0.07747850927685031,0.6846980416186508,0.8761609816517051
2,thin_pipe,circumferential,external_surface,90,0.7,200,0.08361920313332522,0.6878030605401118,0.8747677387277146
3,thin_pipe,circumferential,external_surface,90,0.8,200,0.08933504043628793,0.6909376336334577,0.8733472008860618
4,thin_pipe,circumferential,external_surface,90,0.9,200,0.09470366885665993,0.6941021674761078,0.871879888966397
5,thin_pipe,circumferential,external_surface,90,1.0,200,0.0997816232732905,0.6972970758412071,0.8703984931718046
6,thin_pipe,circumferential,external_surface,90,1.1,200,0.10461158302892372,0.7005227798527603,0.8688947099953842
7,thin_pipe,circumferential,external_surface,90,1.2000000000000002,200,0.1092267057980285,0.7037797081447041,0.8673340426721173
8,thin_pipe,circumferential,external_surface,90,1.3,200,0.11365336020473032,0.707068297024039,0.8657582041078076
9,thin_pipe,circumferential,external_surface,90,1.4,200,0.11791292589072114,0.7103889906381353,0.8641607351490903
10,thin_pipe,circumferential,external_surface,90,1.5,200,0.12202302280571463,0.7137422411463413,0.8625000660280862
11,thin_pipe,circumferential,external_surface,90,1.6,200,0.125998376475371,0.7171285088960162,0.8608230453958442
12,thin_pipe,circumferential,external_surface,90,1.7000000000000002,200,0.1298514429210077,0.720548262603121,0.8591203350794017
13,thin_pipe,circumferential,external_surface,90,1.8,200,0.13359287011768067,0.724001979537506,0.8573525483249159
14,thin_pipe,circumferential,external_surface,90,1.9000000000000001,200,0.1372318453969661,0.7274901457130318,0.8555671287089806
15,thin_pipe,circumferential,external_surface,90,2.0,200,0.14077636146629086,0.7310132560826699,0.8537464343984535
16,thin_pipe,circumferential,external_surface,90,2.1,200,0.14423342320031823,0.7345718147387363,0.85186391591819
17,thin_pipe,circumferential,external_surface,90,2.2,200,0.14760921056603807,0.7381663351184075,0.849962373272299
18,thin_pipe,circumferential,external_surface,90,2.3,200,0.15090920854544038,0.7417973402146878,0.8480096960668189
19,thin_pipe,circumferential,external_surface,90,2.4000000000000004,200,0.15413831187623522,0.7454653627929863,0.8460043034578019
20,thin_pipe,circumferential,external_surface,90,2.5,200,0.15730091033096916,0.7491709456134802,0.8439783757974094
21,thin_pipe,circumferential,external_surface,90,2.6,200,0.1604009587798126,0.7529146416594422,0.8418783954573749
22,thin_pipe,circumferential,external_surface,90,2.7,200,0.16344203522943176,0.7566970143717143,0.8397414267254097
23,thin_pipe,circumferential,external_surface,90,2.8000000000000003,200,0.16642738926776474,0.7605186378895211,0.8375725331385149
24,thin_pipe,circumferential,external_surface,90,2.9000000000000004,200,0.16935998278470063,0.7643800972978176,0.8353182976338095
25,thin_pipe,circumferential,external_surface,90,3.0,200,0.17224252442258636,0.7682819888813786,0.8330404587099364
26,thin_pipe,circumferential,external_surface,90,3.1,200,0.1750774988977144,0.7722249203858377,0.8306956628050715
27,thin_pipe,circumferential,external_surface,90,3.2,200,0.17786719209632615,0.7762095112858997,0.8282925396944779
28,thin_pipe,circumferential,external_surface,90,3.3000000000000003,200,0.1806137126663755,0.7802363930609495,0.8258592204797182
29,thin_pipe,circumferential,external_surface,90,3.4000000000000004,200,0.18331901068516887,0.7843062094782938,0.8233239477777708
30,thin_pipe,circumferential,external_surface,90,3.5,200,0.1859848938728041,0.7884196168842807,0.8207615202776155
31,thin_pipe,circumferential,external_surface,90,3.6,200,0.1886130417346078,0.7925772845035473,0.8181191019740743
32,thin_pipe,circumferential,external_surface,90,3.7,200,0.19120501794700226,0.7967798947466581,0.8154156295506061
33,thin_pipe,circumferential,external_surface,90,3.8000000000000003,200,0.19375826361729112,0.8010281435264062,0.8126613973533175
34,thin_pipe,circumferential,external_surface,90,3.9000000000000004,200,0.19626531605107686,0.8053227405830554,0.8098093574793247
35,thin_pipe,circumferential,external_surface,90,4.0,200,0.19873998046300342,0.809664409818819,0.806926056993447
36,thin_pipe,circumferential,external_surface,90,4.1,200,0.20118344724574874,0.814053889641873,0.8039247932561332
37,thin_pipe,circumferential,external_surface,90,4.2,200,0.20359683406808501,0.8184919333202185,0.8008831086529249
38,thin_pipe,circumferential,external_surface,90,4.300000000000001,200,0.20598119188195094,0.822979309345723,0.7977429981224
39,thin_pipe,circumferential,external_surface,90,4.4,200,0.20833751030354036,0.8275168018086677,0.7945347456368903
40,thin_pipe,circumferential,external_surface,90,4.5,200,0.21066672244621862,0.8321052107831608,0.7912440196234061
41,thin_pipe,circumferential,external_surface,90,4.6000000000000005,200,0.21296970927189218,0.8367453527237746,0.7878607566713277
42,thin_pipe,circumferential,external_surface,90,4.7,200,0.21524730351808902,0.8414380608737834,0.7844069202027233
43,thin_pipe,circumferential,external_surface,90,4.8,200,0.2175002932501251,0.8461841856853943,0.7808399586336575
44,thin_pipe,circumferential,external_surface,90,4.9,200,0.21972942508107582,0.8509845952523786,0.7772098220385923
45,thin_pipe,circumferential,external_surface,90,5.0,200,0.22193540709663023,0.8558401757555201,0.7734502445686918
46,thin_pipe,circumferential,external_surface,90,5.1000000000000005,200,0.2241189115171062,0.8607518319213258,0.7696299700901827
47,thin_pipe,circumferential,external_surface,90,5.2,200,0.22628057712480676,0.8657204874944469,0.7656686501912945
48,thin_pipe,circumferential,external_surface,90,5.300000000000001,200,0.2284210114813907,0.8707470857242876,0.7616438153623343
