,FileName,Nominal OD (inch),Nominal Wall Thickness (inch),Sag Bend Elevation (m),Hog Bend Elevation (m),"LSWR, Fv, Fluid (N)","LSWR, Fh, Fluid (N)","SCR, Fv, Empty (N)","SCR, Fv, Fluid Filled (N)","SCR, Fv, Water Filled (N)",Buoyancy Factor (#),Discrete Buoyancy Coverage (%),Buoyancy Length (m),Discrete Buoyancy Thickness (inch),Total Buoyancy (kg/m)
0,results\SLWR_Summary_16OD_SE500_HE800.yml,16,1.73,500,800,11281507.826302517,1390140.9562629433,9864032.221857242,11304419.280045226,13550769.56357161,2,100,1221.2145988415664,48.22619875187894,-6000304.671773316
1,results\SLWR_Summary_16OD_SE900_HE1200.yml,16,1.73,900,1200,9992192.64615366,1231267.7041186069,9864032.221857242,11304419.280045226,13550769.56357161,2,100,1396.283718847026,48.22619875187894,-6860487.689277748
2,results\SLWR_Summary_16OD_SE1200_HE1500.yml,16,1.73,1200,1500,9025206.261042016,1112112.7650103548,9864032.221857242,11304419.280045226,13550769.56357161,2,100,1512.1163007433422,48.22619875187894,-7429618.440707785
