,FileName,Nominal OD (inch),Nominal Wall Thickness (inch),Sag Bend Elevation (m),Hog Bend Elevation (m),"LSWR, Fv, Fluid (N)","LSWR, Fh, Fluid (N)","SCR, Fv, Empty (N)","SCR, Fv, Fluid Filled (N)","SCR, Fv, Water Filled (N)",Buoyancy Factor (#),Discrete Buoyancy Coverage (%),Buoyancy Length (m),Discrete Buoyancy Thickness (inch),Total Buoyancy (kg/m)
0,results\SLWR_Summary_14OD_SE500_HE800.yml,14,1.55,500,800,8646330.480886554,1065426.5642436258,7575618.997130109,8663890.190449059,10361099.485526314,2,100,1221.2145988415664,42.219722329974566,-4598730.77047391
1,results\SLWR_Summary_14OD_SE900_HE1200.yml,14,1.55,900,1200,7658178.425928092,943663.5283300687,7575618.997130109,8663890.190449059,10361099.485526314,2,100,1396.283718847026,42.219722329974566,-5257988.979385434
2,results\SLWR_Summary_14OD_SE1200_HE1500.yml,14,1.55,1200,1500,6917064.384709245,852341.2513949008,7575618.997130109,8663890.190449059,10361099.485526314,2,100,1512.1163007433422,42.219722329974566,-5694180.013373503
