,FileName,Nominal OD (inch),Nominal Wall Thickness (inch),Sag Bend Elevation (m),Hog Bend Elevation (m),"LSWR, Fv, Fluid (N)","LSWR, Fh, Fluid (N)","SCR, Fv, Empty (N)","SCR, Fv, Fluid Filled (N)","SCR, Fv, Water Filled (N)",Buoyancy Factor (#),Discrete Buoyancy Coverage (%),Discrete Buoyancy Thickness (inch),Total Buoyancy (kg/m)
0,results\SLWR_Summary_16OD_SE1200_HE1500_TSJ3p0in_12ft.yml,16,1.73,1200,1500,9025206.261042016,1112112.7650103548,9864032.221857242,11304419.280045226,13550769.56357161,2,100,48.22619875187894,-7429618.440707785
1,results\SLWR_Summary_16OD_SE1200_HE1500_TSJ3p0in_20ft.yml,16,1.73,1200,1500,9025206.261042016,1112112.7650103548,9864032.221857242,11304419.280045226,13550769.56357161,2,100,48.22619875187894,-7429618.440707785
2,results\SLWR_Summary_16OD_SE1200_HE1500_TSJ2p0in_30ft.yml,16,1.73,1200,1500,9025206.261042016,1112112.7650103548,9864032.221857242,11304419.280045226,13550769.56357161,2,100,48.22619875187894,-7429618.440707785
3,results\SLWR_Summary_16OD_SE1200_HE1500_TSJ2p25in_30ft.yml,16,1.73,1200,1500,9025206.261042016,1112112.7650103548,9864032.221857242,11304419.280045226,13550769.56357161,2,100,48.22619875187894,-7429618.440707785
4,results\SLWR_Summary_16OD_SE1200_HE1500_TSJ2p5in_30ft.yml,16,1.73,1200,1500,9025206.261042016,1112112.7650103548,9864032.221857242,11304419.280045226,13550769.56357161,2,100,48.22619875187894,-7429618.440707785
5,results\SLWR_Summary_16OD_SE1200_HE1500_TSJ3p0in_30ft.yml,16,1.73,1200,1500,9025206.261042016,1112112.7650103548,9864032.221857242,11304419.280045226,13550769.56357161,2,100,48.22619875187894,-7429618.440707785
